"District"	"Name"	"Party"	"Residence"
"A"	"Pete Kelly"	"Republican"	"Fairbanks"
"B"	"John Coghill"	"Republican"	"North Pole"
"C"	"Click Bishop"	"Republican"	"Fairbanks"
"D"	"David Wilson"	"Republican"	"Wasilla"
"E"	"Mike Shower"	"Republican"	
"F"	"Shelley Hughes"	"Republican"	"Palmer"
"G"	"Anna MacKinnon"	"Republican"	"Eagle River"
"H"	"Bill Wielechowski"	"Democratic"	"Anchorage"
"I"	"Berta Gardner"	"Democratic"	"Anchorage"
"J"	"Tom Begich"	"Democratic"	"Anchorage"
"K"	"Mia Costello"	"Republican"	"Anchorage"
"L"	"Natasha von Imhof"	"Republican"	"Anchorage"
"M"	"Kevin Meyer"	"Republican"	"Anchorage"
"N"	"Cathy Giessel"	"Republican"	"Anchorage"
"O"	"Peter Micciche"	"Republican"	"Soldotna"
"P"	"Gary Stevens"	"Republican"	"Kodiak"
"Q"	"Dennis Egan"	"Democratic"	"Juneau"
"R"	"Bert Stedman"	"Republican"	"Sitka"
"S"	"Lyman Hoffman"	"Democratica"	"Bethel"
"T"	"Donny Olson"	"Democratic"	"Golovin"
