"District"	"Senator"	"Political Party"	"Hometown"	"First elected"	"Counties represented"
"1"	"Tim Melson"	"Republican"	"Florence"	2014	"Lauderdale, Limestone, Madison"
"2"	"Tom Butler"	"Republican"		2018	"Limestone, Madison"
"3"	"Arthur Orr"	"Republican"	"Decatur"	2006	"Limestone, Madison, Morgan"
"4"	"Garlan Gudger"	"Republican"		2018	"Cullman, Lawrence, Marion, Winston"
"5"	"Greg Reed"	"Republican"	"Jasper"	2010	"Fayette, Jefferson, Tuscaloosa, Walker, Winston"
"6"	"Larry Stutts"	"Republican"	"Tuscumbia"	2014	"Colbert, Franklin, Lauderdale, Lawrence, Marion"
"7"	"Sam Givhan"	"Republican"		2018	"Madison"
"8"	"Steve Livingston"	"Republican"	"Gurley"	2014	"DeKalb, Jackson, Madison"
"9"	"Clay Scofield"	"Republican"	"Arab"	2010	"Blount, DeKalb, Madison, Marshall"
"10"	"Andrew Jones"	"Republican"		2018	"Cherokee, DeKalb, Etowah, St. Clair"
"11"	"Jim McClendon"	"Republican"	"Springville"	2014	"Shelby, St. Clair, Talladega"
"12"	"Del Marsh"	"Republican"	"Anniston"	1998	"Calhoun, Talladega"
"13"	"Randy Price"	"Republican"		2018	"Chambers, Cherokee, Clay, Cleburne, Lee, Randolph"
"14"	"Cam Ward"	"Republican"	"Alabaster"	2010	"Bibb, Chilton, Shelby"
"15"	"Dan Roberts"	"Republican"		2018	"Jefferson, Shelby, Talladega"
"16"	"J. T. Waggoner"	"Republican"	"Birmingham"	1990	"Jefferson, Shelby"
"17"	"Shay Shelnutt"	"Republican"	"Trussville"	2014	"Blount, Jefferson, St. Clair"
"18"	"Rodger Smitherman"	"Democratic"	"Birmingham"	1994	"Jefferson"
"19"	"Priscilla Dunn"	"Democratic"	"Bessemer"	2009	"Jefferson"
"20"	"Linda Coleman-Madison"	"Democratic"	"Birmingham"	2006	"Jefferson"
"21"	"Gerald Allen"	"Republican"	"Tuscaloosa"	2010	"Lamar, Pickens, Tuscaloosa"
"22"	"Greg Albritton"	"Republican"	"Range"	2014	"Baldwin, Clarke, Escambia, Monroe, Washington"
"23"	"Malika Sanders-Fortier"	"Democratic"		2018	"Butler, Conecuh, Dallas, Lowndes, Marengo, Monroe, Perry, Wilcox"
"24"	"Bobby Singleton"	"Democratic"	"Greensboro"	2005	"Choctaw, Greene, Hale, Marengo, Pickens, Sumter, Tuscaloosa"
"25"	"Will Barfoot"	"Republican"		2018	"Crenshaw, Elmore, Montgomery"
"26"	"David Burkette"	"Democratic"	"Montgomery"	2018	"Montgomery"
"27"	"Tom Whatley"	"Republican"	"Auburn"	2010	"Lee, Russell, Tallapoosa"
"28"	"Billy Beasley"	"Democratic"	"Clayton"	2010	"Barbour, Bullock, Henry, Houston, Macon, Russell"
"29"	"Donnie Chesteen"	"Republican"		2018	"Dale, Geneva, Houston"
"30"	"Clyde Chambliss"	"Republican"	"Prattville"	2014	"Autauga, Chilton, Coosa, Elmore, Tallapoosa"
"31"	"Jimmy Holley"	"Republican"	"Elba"	1998	"Coffee, Covington, Dale, Pike"
"32"	"Chris Elliott"	"Republican"		2018	"Baldwin"
"33"	"Vivian Davis Figures"	"Democratic"	"Mobile"	1997	"Mobile"
"34"	"Jack W. Williams"	"Republican"		2018	"Mobile"
"35"	"David Sessions"	"Republican"		2018	"Mobile"
