"District"	"Name"	"Party"	"Hometown"	"First elected"	"Towns represented"	"Occupation"
"1"	"Matthew Ritter"	"Dem"	"Hartford"	2010	"Hartford (part)"	"Marketing Consultant"
"2"	"William Duff"	"Rep"	"Bethel"	2016	"Bethel (part), Danbury (part), Newtown (part), Redding (part)"	
"3"	"Minnie Gonzalez"	"Dem"	"Hartford"	1996	"Hartford (part)"	"Insurance Executive"
"4"	"Julio Concepcion"	"Dem"	"Hartford"	"2018 (special)"	"Hartford (part)"	"Daycare Owner"
"5"	"Brandon McGee"	"Dem"	"Hartford"	2012	"Hartford (part), Windsor (part)"	"Educator"
"6"	"Edwin Vargas"	"Dem"	"Hartford"	2012	"Hartford (part)"	"Teacher"
"7"	"Joshua M. Hall"	"Dem/WFP"	"Hartford"	2017	"Hartford (part)"	"Corporate Attorney"
"8"	"Timothy Ackert"	"Rep"	"Coventry"	2010	"Columbia, Coventry, Tolland (part), Vernon (part)"	"Utility Executive"
"9"	"Jason Rojas"	"Dem"	"East Hartford"	2008	"East Hartford (part), Manchester (part)"	"Attorney"
"10"	"Henry Genga"	"Dem"	"East Hartford"	2006	"East Hartford (part)"	"Photographer, Business Owner"
11	"Jeffrey Currey"	"Dem"	"East Hartford"	2014	"East Hartford (part), Manchester (part), South Windsor (part)"	"Attorney"
12	"Kelly Luxenberg"	"Dem"	"Manchester"	2014	"Manchester (part)"	"Attorney"
13	"Mark Tweedie"	"Rep"	"Manchester"	2014	"Glastonbury (part), Manchester (part)"	
14	"Tom Delnicki"	"Rep"	"South Windsor"	2016	"South Windsor (part)"	"Retired Attorney"
"15"	"Bobby Gibson"	"Dem"	"Bloomfield"	"2018 (special)"	"Bloomfield, Windsor (part)"	"Teacher"
"16"	"John K. Hampton"	"Dem"	"Simsbury"	2012	"Simsbury"	"Teacher"
17	"Timothy LeGeyt"	"Rep"	"Canton"	2008	"Avon (part), Canton"	
"18"	"Andy Fleischmann"	"Dem"	"West Hartford"	1994	"West Hartford (part)"	
19	"Derek Slap"	"Dem"	"West Hartford"	2016	"Avon (part), Farmington (part), West Hartford (part)"	"Corrections officer
First Selectman"
20	"Joseph Verrengia"	"Dem"	"West Hartford"	2011	"West Hartford (part)"	
21	"Mike Demicco"	"Dem"	"Farmington"	2012	"Farmington (part)"	
22	"William Petit"	"Rep"	"Plainville"	2016	"New Britain (part), Plainville"	
23	"Devin Carney"	"Rep"	"Old Saybrook"	2014	"Lyme, Old Lyme, Old Saybrook, Westbrook (part)"	
24	"Rick Lopes"	"Dem"	"New Britain"	2012	"New Britain (part), Newington (part)"	
25	"Bobby Sanchez"	"Dem"	"New Britain"	2011	"New Britain (part)"	"Realtor"
26	"Peter Tercyak"	"Dem"	"New Britain"	2003	"New Britain (part)"	"Teacher"
27	"Gary Byron"	"Rep"	"Newington"	2014	"Newington (part)"	"Financial Analyst"
"28"	"Russell Morin"	"Dem"	"Wethersfield"	2006	"Wethersfield (part)"	
"29"	"Antonio Guerrera"	"Dem"	"Rocky Hill"	2001	"Newington (part), Rocky Hill, Wethersfield (part)"	
30	"Joe Aresimowicz"	"Dem"	"Berlin"	2004	"Berlin (part), Southington (part)"	
31	"Prasad Srinivasan"	"Rep"	"Glastonbury"	2010	"Glastonbury (part)"	"Real Estate Business Owner"
32	"Christie Carpino"	"Rep"	"Cromwell"	2010	"Cromwell, Portland"	"Strategic Outreach"
33	"Joseph Serra"	"Dem"	"Middletown"	1992	"Middletown (part)"	"Entrepreneur"
34	"Melissa Ziobron"	"Rep"	"East Hampton"	2012	"Colchester (part), East Haddam, East Hampton"	"Attorney"
35	"Jesse Maclachlan"	"Rep"	"Westbrook"	2014	"Clinton, Killingworth, Westbrook (part)"	
36	"Bob Siegrist"	"Rep"	"Haddam"	2016	"Chester, Deep River, Essex, Haddam"	
37	"Holly Cheeseman"	"Rep"	"Niantic"	2016	"East Lyme, Salem"	
38	"Kathleen McCarty"	"Rep"	"Waterford"	2014	"Montville (part), Waterford"	
"39"	"Chris Soto"	"Dem"	"New London"	2016	"New London (part)"	
40	"Christine Conley"	"Dem"	"Groton"	2016	"Groton (part), Ledyard (part)"	
41	"Joe delaCruz"	"Dem"	"Groton"	2016	"Groton (part), New London (part)"	
42	"Mike France"	"Rep"	"Ledyard"	2014	"Ledyard (part), Montville (part), Preston"	
"43"	"Diana Urban"	"Dem"	"North Stonington"	2000	"North Stonington, Stonington"	
"44"	"Anne Dauphinais"	"Rep"	"Killingly"	2016	"Killingly (part), Plainfield (part)"	
45	"Kevin Skulczyck"	"Rep"	"Griswold"	2016	"Griswold, Lisbon (part), Plainfield (part), Sterling, Voluntown"	
46	"Emmett Riley"	"Dem"	"Norwich"	2002	"Norwich (part)"	
47	"Doug Dubitsky"	"Rep"	"Canterbury"	2014	"Canterbury, Chaplin, Franklin, Hampton, Lisbon (part), Lebanon (part), Norwich (part), Scotland, Sprague"	
48	"Linda Orange"	"Dem"	"Colchester"	1996	"Colchester(part), Lebanon (part), Mansfield (part), Windham (part)"	
49	"Susan Johnson"	"Dem"	"Windham"	2008	"Windham (part)"	
50	"Patrick Boyd"	"Dem"	"Pomfret"	2016	"Brooklyn, Eastford, Pomfret, Union, Woodstock"	
51	"Daniel Rovero"	"Dem"	"Dayville"	2010	"Killingly (part), Putnam, Thompson"	
"52"	"Kurt Vail"	"Rep"	"Stafford"	2014	"Somers, Stafford"	
53	"Sam Belsito"	"Rep"	"Tolland"	2013	"Ashford, Tolland (part), Willington"	
"54"	"Gregory Haddad"	"Dem"	"Mansfield"	2010	"Mansfield (part)"	
55	"Robin Green"	"Rep"	"Marlborough"	2016	"Andover, Bolton, Hebron, Marlborough"	
56	"Mike Winkler"	"Dem"	"Vernon"	2016	"Vernon (part)"	
57	"Christopher Davis"	"Rep"	"Broad Brook"	2010	"East Windsor (part), Ellington"	
"58"	"Gregory Stokes"	"Rep"	"Enfield"	2016	"Enfield (part)"	
"59"	"Carol Hall"	"Rep"	"Enfield"	2016	"East Windsor (part), Enfield (part)"	
60	"Scott Storms"	"Rep"	"Windsor Locks"	2016	"Windsor (part), Windsor Locks"	
"61"	"Tami Zawistowski"	"Rep"	"Suffield"	2014	"East Granby, Suffield, Windsor (part)"	
"62"	"William Simanski"	"Rep"	"Granby"	2010	"Barkhamsted, Granby, Hartland, New Hartford"	
"63"	"Jay Case"	"Rep"	"Colebrook"	2012	"Colebrook, Goshen (part), Torrington (part), Winchester"	
"64"	"Brian M. Ohler"	"Rep"	"North Canaan"	2016	"Canaan, Cornwall, Goshen (part), Kent, Norfolk, North Canaan, Salisbury, Sharon, Torrington (part)"	
"65"	"Michelle Cook"	"Dem"	"Torrington"	2008	"Torrington (part)"	
66	"David Wilson"	"Rep"	"Litchfield"	2016	"Bethlehem, Litchfield (part), Morris, Warren, Woodbury (part)"	
67	"Bill Buckbee"	"Rep"	"New Milford"	2016	"New Milford (part)"	
68	"Joseph Polletta"	"Rep"	"Watertown"	2017	"Watertown, Woodbury (part)"	
69	"Arthur O'Neill"	"Rep"	"Southbury"	1988	"Bridgewater, Roxbury, Southbury (part), Washington"	
70	"Rosa Rebimbas"	"Rep"	"Naugatuck"	2009	"Naugatuck (part)"	
71	"Anthony D'Amelio"	"Rep"	"Waterbury"	1996	"Middlebury, Waterbury (part)"	
72	"Larry Butler"	"Dem"	"Waterbury"	2006	"Waterbury (part)"	
73	"Jeffrey Berger"	"Dem"	"Waterbury"	2000	"Waterbury (part)"	
74	"Stephanie Cummings"	"Rep"	"Waterbury"	2016	"Waterbury (part)"	
75	"Geraldo Reyes Jr."	"Dem"	"Waterbury"	2016	"Waterbury (part)"	
76	"John Piscopo"	"Rep"	"Thomaston"	1988	"Burlington, Harwinton, Litchfield (part), Thomaston"	
77	"Cara Pavalock-D'Amato"	"Rep"	"Bristol"	2014	"Bristol (part)"	
78	"Whit Betts"	"Rep"	"Bristol"	2010	"Bristol (part), Plymouth"	
79	"Chris Ziogas"	"Dem"	"Bristol"	2016	"Bristol (part)"	
80	"Robert Sampson"	"Rep"	"Wolcott"	2010	"Wolcott, Southington (part)"	
81	"John Fusco"	"Rep"	"Southington"	2016	"Southington (part)"	
82	"Emil ""Buddy"" Altobello"	"Dem"	"Meriden"	1994	"Meriden (part), Middlefield"	
83	"Catherine Abercrombie"	"Dem"	"Meriden"	2005	"Berlin (part), Meriden (part)"	
84	"Hilda Santiago"	"Dem"	"Meriden"	2012	"Meriden (part)"	
85	"Mary Mushinsky"	"Dem"	"Wallingford"	1980	"Wallingford (part)"	
86	"Vincent Candelora"	"Rep"	"North Branford"	2006	"Durham (part), Guilford (part), North Branford, Wallingford (part)"	
"87"	"Dave Yaccarino"	"Rep"	"North Haven"	2010	"North Haven"	
88	"Josh Elliot"	"Dem"	"Hamden"	2017	"Hamden (part)"	
89	"Lezlye Zupkus"	"Rep"	"Prospect"	2012	"Bethany, Cheshire (part), Prospect"	
90	"Craig Fishbein"	"Rep"	"Wallingford"	2016	"Cheshire (part), Wallingford (part)"	
91	"Mike D'Agostino"	"Dem"	"Hamden"	2012	"Hamden (part)"	
92	"Patricia Dillon"	"Dem"	"New Haven"	1984	"New Haven (part)"	
93	"Toni Walker"	"Dem"	"New Haven"	2001	"New Haven (part)"	
94	"Robyn Porter"	"Dem"	"New Haven"	2014	"Hamden (part), New Haven (part)"	
95	"Juan Candelaria"	"Dem"	"New Haven"	2002	"New Haven (part)"	
96	"Roland Lemar"	"Dem"	"New Haven"	2010	"East Haven (part), New Haven (part)"	
97	"Robert Megna"	"Dem"	"New Haven"	2000	"New Haven (part)"	
98	"Sean Scanlon"	"Dem"	"Guilford"	2014	"Branford (part), Guilford (part)"	
99	"James Albis"	"Dem"	"East Haven"	2011	"East Haven (part)"	
100	"Matt Lesser"	"Dem"	"Middletown"	2008	"Middletown (part)"	
101	"Noreen Kokoruda"	"Rep"	"Madison"	2011	"Durham (part), Madison"	
102	"Lonnie Reed"	"Dem"	"Branford"	1996	"Branford (part)"	
103	"Liz Linehan"	"Dem"	"Cheshire"	2016	"Cheshire (part), Southington (part), Wallingford (part)"	
104	"Linda Gentile"	"Dem"	"Ansonia"	2004	"Ansonia, Derby (part)"	
105	"Theresa Conroy"	"Dem"	"Seymour"	2012	"Beacon Falls, Derby (part), Seymour"	
106	"Mitch Bolinsky"	"Rep"	"Newtown"	2012	"Newtown (part)"	
107	"Stephen Harding"	"Rep"	"Brookfield"	2015	"Bethel (part), Brookfield, Danbury (part)"	
108	"Richard A. Smith"	"Rep"	"New Fairfield"	2010	"Danbury (part), New Fairfield (part), New Milford (part), Sherman"	
109	"David Arconti"	"Dem"	"Danbury"	2012	"Danbury (part)"	
110	"Bob Godfrey"	"Dem"	"Danbury"	1988	"Danbury (part)"	
111	"John H. Frey"	"Rep"	"Ridgefield"	1998	"Ridgefield (part)"	
112	"JP Sredzinski"	"Rep"	"Monroe"	2014	"Monroe, Newtown (part)"	
113	"Jason Perillo"	"Rep"	"Shelton"	2007	"Shelton (part)"	
114	"Themis Klarides"	"Rep"	"Derby"	1998	"Derby (part), Orange (part), Woodbridge (part)"	
115	"Dorinda Keenan Borer"	"Dem"	"West Haven"	"2017 (special)"	"West Haven (part)"	
116	"Louis Esposito"	"Dem"	"West Haven"	1992	"New Haven (part), West Haven (part)"	
117	"Charles Ferraro"	"Rep"	"West Haven"	2014	"Milford (part), Orange (part), West Haven (part)"	
118	"Kim Rose"	"Dem"	"Milford"	2010	"Milford (part)"	
119	"Pam Staneski"	"Rep"	"Milford"	2014	"Orange (part), Milford (part)"	
120	"Phil Young"	"Dem"	"Stratford"	"2018 (special)"	"Stratford (part)"	
121	"Joe Gresko"	"Dem"	"Stratford"	2016	"Stratford (part)"	
122	"Ben McGorty"	"Rep"	"Shelton"	2014	"Shelton (part), Stratford (part), Trumbull (part)"	
123	"Dave Rutigliano"	"Rep"	"Trumbull"	2012	"Trumbull (part)"	
124	"Andre Baker"	"Dem"	"Bridgeport"	2014	"Bridgeport (part)"	
125	"Tom O'Dea"	"Rep"	"New Canaan"	2012	"New Canaan (part), Wilton (part)"	
126	"Charlie Stallworth"	"Dem"	"Bridgeport"	2011	"Bridgeport (part)"	
127	"John Hennessy"	"Dem"	"Bridgeport"	2004	"Bridgeport (part)"	
128	"Christopher Rosario"	"Dem"	"Bridgeport"	2014	"Bridgeport (part)"	
129	"Steven Stafstrom"	"Dem"	"Bridgeport"	2015	"Bridgeport (part)"	
130	"Ezequiel Santiago"	"Dem"	"Bridgeport"	2008	"Bridgeport (part)"	
131	"David Labriola"	"Rep"	"Naugatuck"	2002	"Naugatuck (part), Oxford, Southbury (part)"	
132	"Brenda Kupchick"	"Rep"	"Fairfield"	2010	"Fairfield (part)"	
133	"Cristin McCarthy Vahey"	"Dem"	"Fairfield"	2014	"Fairfield (part)"	
134	"Laura Devlin"	"Rep"	"Fairfield"	2014	"Fairfield (part), Trumbull (part)"	
"135"	"John Shaban"	"Rep"	"Redding"	2010	"Easton, Redding (part), Weston"	
136	"Jonathan Steinberg"	"Dem"	"Westport"	2010	"Westport (part)"	
"137"	"Chris Perone"	"Dem"	"Norwalk"	2004	"Norwalk (part)"	
138	"Michael Ferguson"	"Rep"	"Danbury"	2016	"Danbury (part), New Fairfield (part), Ridgefield (part)"	
139	"Kevin Ryan"	"Dem"	"Montville"	1992	"Bozrah, Montville (part), Norwich (part)"	
"140"	"Bruce Morris"	"Dem"	"Norwalk"	2006	"Norwalk (part)"	
"141"	"Terrie Wood"	"Rep"	"Darien"	2008	"Darien (part), Norwalk (part)"	
"142"	"Friedrich Wilms"	"Rep"	"Norwalk"	2014	"New Canaan (part), Norwalk (part)"	
"143"	"Gail Lavielle"	"Rep"	"Wilton"	2010	"Norwalk (part), Westport (part), Wilton (part)"	
144	"Caroline Simmons"	"Dem"	"Stamford"	2014	"Stamford (part)"	
145	"Patricia Miller"	"Dem"	"Stamford"	2008	"Stamford (part)"	
146	"Terry Adams"	"Dem"	"Stamford"	2014	"Stamford (part)"	
147	"William Tong"	"Dem"	"Stamford"	2006	"Darien (part), Stamford (part)"	
148	"Daniel J. Fox"	"Dem"	"Stamford"	2011	"Stamford (part)"	
149	"Livvy Floren"	"Rep"	"Greenwich"	2000	"Greenwich (part), Stamford (part)"	
150	"Mike Bocchino"	"Rep"	"Greenwich"	2014	"Greenwich (part)"	
151	"Fred Camillo"	"Rep"	"Greenwich"	2008	"Greenwich (part)"	
