District	Name	Party	First Elected	Residence	Seat up
1	Harris McDowell III	Dem	1976	North Wilmington	2020
2	Darius Brown	Dem	2018		2022
3	S. Elizabeth Lockman	Dem	2018		2022
4	Laura Sturgeon	Dem	2018		2022
5	Catherine Cloutier	Rep	2000	Heatherbrooke	2020
6[permanent dead link]	Ernesto Lopez	Rep	2012	Lewes	2022
7	Anthony Delcollo	Rep	2016		2020
8	David Sokola	Dem	1990	Newark	2020
9	Jack Walsh	Dem	2016		2020
10	Stephanie Hansen	Dem	2017	Middletown	2022
11	Bryan Townsend	Dem	2012	Westover Woods	2022
12	Nicole Poore	Dem	2012	Barbs Farm	2020
13	David McBride	Dem	1980	Hawk's Nest	2020
14	Bruce Ennis	Dem	2007	Clayton	2020
15[permanent dead link]	David G. Lawson	Rep	2010	Marydel	2020
16[permanent dead link]	Colin R. J. Bonini	Rep	1994	South Dover	2022
17[permanent dead link]	W. Charles Paradee III	Dem	2018		2022
18[permanent dead link]	David L. Wilson	Rep	2018		2022
19[permanent dead link]	Brian G. Pettyjohn	Rep	2012	Georgetown	2020
20[permanent dead link]	Gerald Hocker	Rep	2012	Ocean View	2020
21[permanent dead link]	Bryant Richardson	Rep	2014	Laurel	2022
