District	Senator	Party	First elected	Residence
1	Ben Watson	Republican	2014	Savannah
2	Lester G. Jackson	Democratic	2008	Savannah
3	William T. Ligon Jr.	Republican	2010	Brunswick
4	Jack Hill	Republican	1990	Reidsville
5	Curt Thompson	Democratic	2004	Tucker
6	Jen Jordan	Democratic	2017	Atlanta
7	Tyler Harper	Republican	2012	Ocilla
8	Ellis Black	Republican	2014	Valdosta
9	P.K. Martin IV	Republican	2014	Lawrenceville
10	Emanuel Jones	Democratic	2004	Decatur
11	Dean Burke	Republican	2013	Bainbridge
12	Freddie Powell Sims	Democratic	2008	Dawson
13	Greg Kirk	Republican	2014	Americus
14	Bruce Thompson	Republican	2013	White
15	Ed Harbison	Democratic	1992	Columbus
16	Marty Harbin	Republican	2014	Tyrone
17	Brian Strickland	Republican	2018	McDonough
18	John F. Kennedy	Republican	2012	Macon
19	Blake Tillery	Republican	2016	Vidalia
20	Larry Walker III	Republican	2016	Perry
21	Brandon Beach	Republican	2012	Alpharetta
22	Harold V. Jones II	Democratic	2014	Augusta
23	Jesse Stone	Republican	2010	Waynesboro
24	Lee Anderson	Republican	2016	Grovetown
25	Burt Jones	Republican	2012	Jackson
26	David Lucas	Democratic	2012	Macon
27	Michael Williams	Republican	2014	Cumming
28	Matt Brass	Republican	2016	Newnan
29	Joshua McKoon	Republican	2010	Columbus
30	Mike Dugan	Republican	2013	Carrollton
31	Bill Heath	Republican	2004	Bremen
32	Kay Kirkpatrick	Republican	2017	Marietta
33	"Michael ""Doc"" Rhett"	Democratic	2014	Marietta
34	Valencia Seay	Democratic	2003	Riverdale
35	Donzella James	Democratic	2009	Atlanta
36	Nan Orrock	Democratic	2006	Atlanta
37	Lindsey Tippins	Republican	2010	Marietta
38	Horacena Tate	Democratic	1998	Atlanta
39	Nikema Williams	Democratic	2017	Atlanta
40	Fran Millar	Republican	2010	Atlanta
41	Steve Henson	Democratic	2002	Tucker
42	Elena Parent	Democratic	2014	Atlanta
43	Tonya Anderson	Democratic	2016	Lithonia
44	Gail Davenport	Democratic	2010	Jonesboro
45	Renee Unterman	Republican	2002	Buford
46	Bill Cowsert	Republican	2006	Athens
47	Frank Ginn	Republican	2010	Danielsville
48	David Shafer	Republican	2001	Duluth
49	Butch Miller	Republican	2010	Gainesville
50	John Wilkinson	Republican	2011	Toccoa
51	Steve Gooch	Republican	2010	Dahlonega
52	Chuck Hufstetler	Republican	2012	Rome
53	Jeff Mullis	Republican	2000	Chickamauga
54	Chuck Payne	Republican	2016	Dalton
55	Gloria Butler	Democratic	1999	Stone Mountain
56	John Albers	Republican	2010	Roswell
