District	Name	Party	Areas Represented
1	Kaiali‘i Kahele	Dem	Hilo
2	Russell E. Ruderman	Dem	Puna, Kaʻu
3	Dru Kanuha	Dem	Kona, Kaʻu
4	Lorraine Inouye	Dem	Hilo, Hamakua, Kohala, Waimea, Waikoloa, Kona
5	Gilbert S. C. Keith-Agaran[Note 1]	Dem	Wailuku, Waiheʻe, Kahului
6	Rosalyn Baker	Dem	South and West Maui
7	J. Kalani English	Dem	Hana, East and Upcountry Maui, Molokaʻi, Lanaʻi and Kahoʻolawe
8	Ronald D. Kouchi	Dem	Kauaʻi, Niʻihau
9	Stanley Chang	Dem	Hawaiʻi Kai, ʻAina Haina, Waiʻalae-Kahala, Diamond Head
10	Les Ihara, Jr.	Dem	Kaimuki, Kapahulu, Palolo, Maunalani Heights, St. Louis Heights, Moʻiliʻili, Ala Wai
11	Brian Taniguchi	Dem	Manoa, Makiki, Punchbowl, Papakolea
12	Sharon Moriwaki	Dem	Kakaʻako, Ala Moana, Waikiki, McCully, Moʻiliʻili
13	Suzanne Chun Oakland	Dem	Liliha, Palama, Iwilei, Kalihi, Nuʻuanu, Pacific Heights, Pauoa, Lower Tantalus, Downtown
14	Donna Mercado Kim[Note 2]	Dem	Moanalua, ʻAiea, Fort Shafter, Kalihi Valley, Halawa Valley
15	Glenn Wakai	Dem	Kalihi, Mapunapuna, Airport, Salt Lake, Aliamanu, Foster Village, Hickam, Pearl Harbor
16	Breene Harimoto	Dem	Pearl City, Momilani, Pearlridge, ʻAiea, Royal Summit, ʻAiea Heights, Newtown, Waimalu, Halawa, Pearl Harbor
17	Clarence K. Nishihara	Dem	Waipahu, Pearl City, Crestview, Manana, Pacific Palisades
18	Michelle Kidani	Dem	Mililani Town, Waipiʻo Gentry, Waikele, Village Park, Royal Kunia
19	Kurt Fevella	Rep	ʻEwa Beach, ʻEwa by Gentry, Ocean Pointe, ʻEwa Villages, Iroquois Point
20	Mike Gabbard	Dem	Makakilo, Kapolei, Kalaeloa, ʻEwa, Waipahu
21	Maile Shimabukuro	Dem	Kalaeloa, Honokai Hale, Ko ʻOlina, Nanakuli, Maʻili, Waiʻanae, Makaha, Makua
22	Donovan Dela Cruz	Dem	Mililani Mauka, Waipiʻo Acres, Wheeler, Wahiawa, Whitmore Village, Poamoho
23	Gil Riviere	Dem	Kunia, Schofield Barracks, Wahiawa, Waialua, Haleʻiwa, Kahuku, Laʻie, Kaʻaʻawa, Kaneʻohe
24	Jarrett Keohokalole	Dem	ʻAhuimanu, Heʻeia, Kaneʻohe, Kaneʻohe MCAB
25	Laura Thielen	Dem	Kailua, Lanikai, Enchanted Lake, Keolu Hills, Maunawili, Waimanalo, Hawaiʻi Kai, Portlock
