District	Jurisdiction(s) represented	Image	Name	Party	"First
elected"	"Standing
Committee
Leader"	"Appropriations
Subcommittee
Member"
1	Clay, Dickinson, Lyon, Osceola, and Palo Alto	 	David Johnson	Independent	2002	Human Resources (Ranking Member)	Health and Human Resources
2	Cherokee, O'Brien, Plymouth, and Sioux	 	Randy Feenstra	Republican	2008	Ways and Means (Ranking Member)	N/A
3	Plymouth and Woodbury		Jim Carlin	Republican	2018		
4	Emmet, Hancock, Kossuth, Winnebago, and Wright	 	Dennis Guth	Republican	2012	N/A	Administration and Regulation (Ranking Member)
5	Calhoun, Humboldt, Pocahontas, and Webster	 	Tim Kraayenbrink	Republican	2014		
6	Audubon, Buena Vista, Carroll, Crawford, and Sac	 	Mark Segebart	Republican	2012	N/A	Health and Human Services (Ranking Member)
7	Woodbury	 	Rick Bertrand	Republican	2010	N/A	N/A
8	Pottawattamie	 	Dan Dawson	Republican	2016		
9	Crawford, Harrison, Ida, Monona, Shelby, and Woodbury	 	Jason Schultz	Republican	2014		
10	Adair, Cass, Dallas, Guthrie, and Polk	 	Jake Chapman	Republican	2012	Economic Growth/Rebuild Iowa (Ranking Member)	Justice System (Ranking Member)
11	Adams, Cass, Pottawattamie, and Union	 	Tom Shipley	Republican	2014		
12	Fremont, Mills, Montgomery, Page, Ringgold, and Taylor	 	Mark Costello	Republican	2014[a]		
13	Madison and Warren	 	Julian Garrett	Republican	2013[b]		
14	Clarke, Decatur, Jasper, Lucas, Marion, and Wayne County, Iowa	 	Amy Sinclair	Republican	2012	Local Government (Ranking Member)	Education
15	Jasper and Polk	 	Chaz Allen	Democratic	2014		
16	Polk	 	Nate Boulton	Democratic	2016		
17	Polk	 	Tony Bisignano	Democratic	2014		
18	Polk	 	Janet Petersen	Democratic	2012	Government Oversight (Chair), Commerce (Vice Chair)	N/A
19	Polk	 	Jack Whitver	Republican	2011[c]	Rules and Administration (Chair)	N/A
20	Polk	 	Brad Zaun	Republican	2004	N/A	N/A
21	Polk and Warren	 	Matt McCoy	Democratic	1996	Commerce (Chair)	Transportation, Infrastructure, and Capitals (Chair), Government Oversight
22	Dallas and Polk	 	Charles Schneider	Republican	2012[d]	Appropriations (Chair), Rules and Administration (Vice Chair), Judiciary (Ranking Member)	Economic Development
23	Story	 	Herman Quirmbach	Democratic	2002	Education (Chair)	Education
24	Boone, Greene, Hamilton, Story, and Webster	 	Jerry Behn	Republican	1996	N/A	N/A
25	Butler, Grundy, Hardin, and Story		Annette Sweeney	Republican	2018	N/A	N/A
26	Cerro Gordo, Chickasaw, Floyd, Howard, Mitchell, Winneshiek, and Worth	 	Waylon Brown	Republican	2016		
27	Butler, Cerro Gordo, and Franklin	 	Amanda Ragan	Democratic	2002[e]	Human Resources (Chair)	Health and Human Services (Vice Chair)
28	Allamakee, Clayton, Fayette, and Winneshiek	 	Michael Breitbach	Republican	2012	N/A	N/A
29	Dubuque, Jones, and Jackson	 	Tod Bowman	Democratic	2010	Transportation (Chair), Economic Growth/Rebuild Iowa (Vice Chair)	Transportation, Infrastructure, and Capitals
30	Black Hawk	 	Jeff Danielson	Democratic	2004	State Government (Chair), Appropriations (Vice Chair), Veterans Affairs (Vice Chair)	Administration and Regulation (Vice Chair)
31	Black Hawk	 	William Dotzler	Democratic	2002	N/A	Economic Development (Chair)
32	Bremer, Black Hawk, Buchanan, and Fayette	 	Craig Johnson	Republican	2016		
33	Linn	 	Rob Hogg	Democratic	2006	Judiciary (Chair)	Justice System (Vice Chair)
34	Linn	 	Liz Mathis	Democratic	2011[f]	N/A	Administration and Regulation (Chair)
35	Linn	 	Wally Horn	Democratic	1982	Ethics (Chair), Labor and Business Relations (Chair)	Education (Vice Chair)
36	Black Hawk, Marshall, and Tama	 	Jeff Edler	Republican	2016		
37	Cedar, Johnson, and Muscatine	 	Robert Dvorsky	Democratic	1994[g]	N/A	N/A
38	Benton, Iowa, and Poweshiek	 	Tim Kapucian	Republican	2008	Transportation (Ranking Member)	Transportation, Infrastructure, and Capitals (Ranking Member)
39	Johnson, Keokuk, and Washington	 	Kevin Kinney	Democrat	2014		
40	Appanoose, Marion, Mahaska, Monroe, and Wapello	 	Ken Rozenboom	Republican	2012	Veterans Affairs (Ranking Member)	Agriculture and Natural Resources (Ranking Member)
41	Davis, Jefferson, Wapello, and Van Buren	 	Mark Chelgren	Republican	2010	N/A	Justice System
42	Henry, Lee, Jefferson, and Washington	 	Rich Taylor	Democratic	2012	Agriculture (Vice Chair)	Justice System
43	Johnson	 	Joe Bolkcom	Democratic	1998	Ways and Means (Chair)	Health and Human Services
44	Des Moines, Louisa, and Muscatine	 	Thomas Greene	Republican	2016		
45	Scott	 	Jim Lykam	Democratic	2016[h]		
46	Muscatine and Scott	 	Mark Lofgren	Republican	2016		
47	Scott	 	Roby Smith	Republican	2010		Education (Ranking Member)
48	Buchanan, Delaware, Jones, and Linn	 	Dan Zumbach	Republican	2012	Agriculture (Ranking Member)	N/A
49	Clinton and Scott	 	Rita Hart	Democratic	2012	N/A	Economic Development (Vice Chair)
50	Dubuque	 	Pam Jochum	Democratic	2008	Rules and Administration (Ranking Member), State Government (Vice Chair)	N/A
