District	Name	Party	Residence	First elected	Seat up
1	Frank Mrvan	Dem	Hammond	1998 (1978–1994)	2018
2	Lonnie Randolph	Dem	East Chicago	2008 (1992–1998)	2020
3	Eddie Melton	Dem	Merrillville	2016	2020
4	Karen Tallian	Dem	Portage	2005†	2018
5	Ed Charbonneau	Rep	Valparaiso	2007†	2020
6	Rick Niemeyer	Rep	Lowell	2014	2018
7	Brian Buchanan	Rep	Lebanon	2018†	2020
8	Mike Bohacek	Rep	Michiana Shores	2016	2020
9	Ryan Mishler	Rep	Bremen	2004	2020
10	David L. Niezgodski	Dem	South Bend	2016	2020
11	Joe Zakas	Rep	Granger	1982	2018
12	Blake Doriot	Rep	New Paris	2016	2020
13	Sue Glick	Rep	LaGrange	2010	2020
14	Dennis Kruse	Rep	Auburn	2004†	2018
15	Liz Brown	Rep	Fort Wayne	2014	2018
16	David C. Long	Rep	Fort Wayne	1996	2020
17	Andy Zay	Rep	Huntington	2016†	2018
18	Randall Head	Rep	Logansport	2008	2020
19	Travis Holdman	Rep	Markle	2008†	2018
20	Victoria Spartz	Rep	Noblesville	2017†	2020
21	James R. Buck	Rep	Kokomo	2008	2018
22	Ronnie Alting	Rep	Lafayette	1998	2018
23	Phil Boots	Rep	Crawfordsville	2006	2018
24	John Crane	Rep	Avon	2016	2020
25	Timothy Lanane	Dem	Anderson	1997†	2018
26	Doug Eckerty	Rep	Muncie	2010	2018
27	Jeff Raatz	Rep	Centerville	2014	2018
28	Michael Crider	Rep	Greenfield	2012	2020
29	Mike Delph	Rep	Carmel	2005†	2018
30	John Ruckelshaus	Rep	Indianapolis	2016	2020
31	James W. Merritt	Rep	Indianapolis	1990	2018
32	Aaron Freeman	Rep	Indianapolis	2016	2020
33	Greg Taylor	Dem	Indianapolis	2008	2020
34	Jean Breaux	Dem	Indianapolis	2006	2020
35	R. Michael Young	Rep	Indianapolis	2000	2020
36	Jack Sandlin	Rep	Indianapolis	2016	2020
37	Rodric Bray	Rep	Martinsville	2012	2020
38	Jon Ford	Rep	Terre Haute	2014	2018
39	Eric Bassler	Rep	Washington	2014	2018
40	Mark Stoops	Dem	Bloomington	2012	2020
41	Greg Walker	Rep	Columbus	2006	2018
42	Jean Leising	Rep	Oldenburg	2008 (1988–1996)	2020
43	Chip Perfect	Rep	Lawrenceburg	2014	2018
44	Eric Koch	Rep	Bedford	2016	2020
45	Jim Smith	Rep	Charlestown	2010	2018
46	Ron Grooms	Rep	Jeffersonville	2010	2018
47	Erin Houchin	Rep	Salem	2014	2018
48	Mark Messmer	Rep	Jasper	2014	2018
49	Jim Tomes	Rep	Evansville	2010	2018
50	Vaneta Becker	Rep	Evansville	2005†	2020
