District	Name	Party	Residence
1	Dennis Pyle	Republican	Hiawatha
2	Marci Francisco	Democratic	Lawrence
3	Tom Holland	Democratic	Baldwin City
4	David Haley	Democratic	Kansas City
5	Steve Fitzgerald	Republican	Leavenworth
6	Pat Pettey	Democratic	Kansas City
7	Barbara Bollier	Republican	Mission Hills
8	Jim Denning	Republican	Overland Park
9	Julia Lynn	Republican	Olathe
10	Mary Pilcher-Cook	Republican	Shawnee
11	John Skubal	Republican	Overland Park
12	Caryn Tyson	Republican	Leawood
13	Richard Hilderbrand	Republican	Galena
14	Bruce Givens	Republican	El Dorado
15	Dan Goddard	Republican	Parsons
16	Ty Masterson	Republican	Augusta
17	Jeff Longbine	Republican	Emporia
18	Laura Kelly	Democratic	Topeka
19	Anthony Hensley	Democratic	Topeka
20	Vicki Schmidt	Republican	Topeka
21	Dinah Sykes	Republican	Lenexa
22	Tom Hawk	Democratic	Manhattan
23	Robert Olson	Republican	Olathe
24	Randall Hardy	Republican	Salina
25	Lynn Rogers	Democratic	Wichita
26	Dan Kerschen	Republican	Belle Plaine
27	Gene Suellentrop	Republican	Wichita
28	Mike Petersen	Republican	Wichita
29	Oletha Faust-Goudeau	Democratic	Wichita
30	Susan Wagle	Republican	Wichita
31	Carolyn McGinn	Republican	Sedgwick
32	Larry Alley	Republican	Winfield
33	Mary Jo Taylor	Republican	Stafford
34	Ed Berger	Republican	Hutchinson
35	Richard Wilborn	Republican	McPherson
36	Elaine Bowers	Republican	Concordia
37	Molly Baumgardner	Republican	Louisburg
38	Bud Estes	Republican	Dodge City
39	John Doll	Independent	Garden City
40	Rick Billinger	Republican	Goodland
