District	Name	Party	Hometown	Counties in Senate District	Since	Committee Chair
1	Stanley H. Humphries	Rep	Cadiz	Calloway, Carlisle, Fulton, Graves, Hickman, Lyon, Trigg	2013	
2	Danny Carroll	Rep	Paducah	Ballard, McCracken, Marshall	2015	
3	Whitney Westerfield	Rep	Hopkinsville	Christian, Logan, Todd	2013	Judiciary
4	Dorsey Ridley	Dem	Princeton	Caldwell, Crittenden, Henderson, Livingston, Union, Webster	2004	
5	Stephen Meredith	Rep	Leitchfield	Breckinridge, Grayson, Hancock, Hart, LaRue, Meade	2016	
6	C.B. Embry Jr.	Rep	Morgantown	Hopkins, Muhlenberg, Ohio	2015	
7	Julian Carroll	Dem	Frankfort	Anderson, Fayette, Franklin, Woodford	2005	
8	Joe Bowen	Rep	Sorgho	Daviess, McLean	2011	State & Local Government
9	David P. Givens	Rep	Greensburg	Allen, Barren, Edmonson, Green, Metcalfe, Simpson	2009	
10	Dennis Parrett	Dem	Elizabethtown	Hardin, Jefferson	2011	
11	John Schickel	Rep	Union	Boone, Gallatin, Kenton	2009	Licensing, Occupations, and Administrative Regulations
12	Alice Forgy Kerr	Rep	Lexington	Fayette	1999	Economic Development, Tourism & Labor
13	Reggie Thomas	Dem	Lexington	Fayette	2013	
14	Jimmy Higdon	Rep	Lebanon	Marion, Mercer, Nelson, Taylor, Washington	2009	Veterans, Military Affairs, and Public Protection
15	Rick Girdler	Rep	Somerset	Adair, Casey, Pulaski, Russell	2017	Capital Projects
16	Max Wise	Rep	Campbellsville	Clinton, Cumberland, McCreary, Monroe, Wayne, Whitley	2015	
17	Damon Thayer	Rep	Georgetown	Grant, Kenton, Owen, Scott	2003	
18	Robin L. Webb	Dem	Grayson	Bracken, Carter, Greenup, Lewis, Mason, Robertson	2009	
19	Morgan McGarvey	Dem	Louisville	Jefferson	2013	
20	Paul Hornback	Rep	Shelbyville	Bullitt, Shelby, Spencer	2011	Agriculture
21	Albert Robinson	Rep	London	Estil, Jackson, Laurel, Menifee, Powell	2005 (1989–96)	
22	Tom Buford	Rep	Nicholasville	Boyle, Fayette, Garrard, Jessamine	1991	Banking & Insurance
23	Christian McDaniel	Rep	Taylor Mill	Kenton	2013	
24	Wil Schroder	Rep	Wilder	Campbell, Pendleton	2015	
25	Robert Stivers II	Rep	Manchester	Clay, Knox, Lee, Magoffin, Morgan, Owsley, Wolfe	1997	
26	Ernie Harris	Rep	Crestwood	Carroll, Henry, Jefferson, Oldham, Trimble	1995	Transportation
27	Steve West	Rep	Millersburg	Bourbon, Fleming, Harrison, Lewis, Mason, Nicholas, Robertson, Rowan	2015	
28	Ralph Alvarado	Rep	Winchester	Bath, Bourbon, Clark, Harrison, Montgomery, Nicholas	2015	
29	Johnny Ray Turner	Dem	Drift	Breathitt, Floyd, Knott, Letcher	2001	
30	Brandon Smith	Rep	Hazard	Bell, Harlan, Leslie, Perry	2008 (2001–08)	
31	Ray S. Jones II	Dem	Pikeville	Johnson, Martin, Pike	2001	
32	Mike Wilson	Rep	Bowling Green	Butler, Warren	February 2011	Education
33	Gerald Neal	Dem	Louisville	Jefferson	1989	
34	Jared Carpenter	Rep	Berea	Lincoln, Madison, Rockcastle	2011	Natural Resources, and Energy
35	Denise Harper Angel	Dem	Louisville	Jefferson	2005	
36	Julie Raque Adams	Rep	Louisville	Jefferson	2015 (2011-2015)	
37	Perry B. Clark	Dem	Louisville	Jefferson	2006 (1995-06)	
38	"Dan ""Malano"" Seum"	Rep	Louisville	Jefferson	1995 (1982–88, 1989–92)	
