"RepName"	"Party"	"District"	"Home Town/City"	"Assumed office"
"Adam G. Hinds[21]"	"Democratic"	"Berkshire, Hampshire, Franklin, & Hampden"	"Pittsfield"	2017
"Paul Feeney"	"Democratic"	"Bristol & Norfolk"	"Foxborough"	"2017*[22]"
"Michael Rodrigues"	"Democratic"	"First Bristol & Plymouth"	"Westport"	2011
"Mark Montigny"	"Democratic"	"Second Bristol & Plymouth"	"New Bedford"	1993
"Julian Cyr[23]"	"Democratic"	"Cape & Islands"	"Truro"	2017
"Kathleen O'Connor Ives"	"Democratic"	"First Essex"	"Newburyport"	2013
"Joan Lovely"	"Democratic"	"Second Essex"	"Salem"	2013
"Brendan Crighton"	"Democratic"	"Third Essex"	"Lynn"	"2018*"
"Bruce Tarr"	"Republican"	"First Essex & Middlesex"	"Gloucester"	1995
"Barbara L'Italien"	"Democratic"	"Second Essex & Middlesex"	"Andover"	2015
"James T. Welch"	"Democratic"	"Hampden"	"West Springfield"	2011
"Eric Lesser"	"Democratic"	"First Hampden & Hampshire"	"Longmeadow"	2015
"Donald Humason, Jr."	"Republican"	"Second Hampden & Hampshire"	"Westfield"	"2013*"
"Vacant"		"Hampshire & Franklin & Worcester"		
"Vacant"		"First Middlesex"		
"Patricia D. Jehlen"	"Democratic"	"Second Middlesex"	"Somerville"	"2005*"
"Michael J. Barrett"	"Democratic"	"Third Middlesex"	"Lexington"	2013
"Cindy Friedman"	"Democratic"	"Fourth Middlesex"	"Arlington"	"2017*"
"Jason Lewis"	"Democratic"	"Fifth Middlesex"	"Winchester"	"2014*"
"Cynthia Stone Creem"	"Democratic"	"First Middlesex & Norfolk"	"Newton"	1999
"Karen Spilka"	"Democratic"	"Second Middlesex & Norfolk"	"Ashland"	2005
"Sal DiDomenico"	"Democratic"	"Middlesex & Suffolk"	"Everett"	"2010*"
"James B. Eldridge"	"Democratic"	"Middlesex & Worcester"	"Acton"	2009
"Richard Ross"	"Republican"	"Norfolk, Bristol & Middlesex"	"Wrentham"	"2010*"
"Walter Timilty[24]"	"Democratic"	"Norfolk, Bristol & Plymouth"	"Milton"	2017
"John Keenan"	"Democratic"	"Norfolk & Plymouth"	"Quincy"	2011
"Michael F. Rush"	"Democratic"	"Norfolk & Suffolk"	"Boston"	2011
"Vinny deMacedo"	"Republican"	"Plymouth & Barnstable"	"Plymouth"	2015
"Marc Pacheco"	"Democratic"	"First Plymouth & Bristol"	"Taunton"	1993
"Michael Brady"	"Democratic"	"Second Plymouth & Bristol"	"Brockton"	"2015*"
"Patrick O'Connor"	"Republican"	"Plymouth & Norfolk"	"Weymouth"	"2016*"
"Nick Collins"	"Democratic"	"First Suffolk"	"Boston"	"2018*"
"Sonia Chang-Diaz"	"Democratic"	"Second Suffolk"	"Boston"	2009
"Joseph A. Boncore"	"Democratic"	"First Suffolk & Middlesex"	"Winthrop"	"2016*"
"Will Brownsberger"	"Democratic"	"Second Suffolk & Middlesex"	"Belmont"	"2012*"
"Harriette Chandler"	"Democratic"	"First Worcester"	"Worcester"	2001
"Michael O. Moore"	"Democratic"	"Second Worcester"	"Millbury"	2009
"Anne Gobi"	"Democratic"	"Worcester, Hampden, Hampshire & Middlesex"	"Spencer"	2015
"Dean Tran"	"Republican"	"Worcester & Middlesex"	"Fitchburg"	"2017*"
"Ryan Fattman"	"Republican"	"Worcester & Norfolk"	"Webster"	2015
