"District"	"Name"	"Party"	"Hometown"
1	"Deane Rykerson"	"D"	"Kittery"
2	"Michele Meyer"	"D"	"Eliot"
3	"Lydia Blume"	"D"	"York"
4	"Patricia Hymanson"	"D"	"York"
5	"Beth A. O'Connor"	"R"	"Berwick"
6	"Tiffany Roberts-Lowell"	"D"	"South Berwick"
7	"Daniel J. Hobbs"	"D"	"Wells"
8	"Christopher W. Babbidge"	"D"	"Kennebunk"
9	"Diane M. Denk"	"D"	"Kennebunk"
10	"Henry L. Ingwersen"	"D"	"Arundel"
11	"Ryan Michael Fecteau"	"D"	"Biddeford"
12	"Victoria Foley"	"D"	"Biddeford"
13	"Lori K. Gramlich"	"D"	"Old Orchard Beach"
14	"Donna Bailey"	"D"	"Saco"
15	"Margaret M. O'Neil"	"D"	"Saco"
16	"Donald G. Marean"	"R"	"Hollis"
17	"Dwayne W. Prescott"	"R"	"Waterboro"
18	"Anne-Marie Mastraccio"	"D"	"Sanford"
19	"Matthew A. Harrington"	"R"	"Sanford"
20	"Theodore Joseph Kryzak"	"R"	"Acton"
21	"Heidi H. Sampson"	"R"	"Alfred"
22	"Mark John Blier"	"R"	"Buxton"
23	"Lester S. Ordway"	"R"	"Standish"
24	"Mark E. Bryant"	"D"	"Windham"
25	"Patrick W. Corey"	"R"	"Windham"
26	"Maureen Fitzgerald Terry"	"D"	"Gorham"
27	"Andrew John McLean"	"D"	"Gorham"
28	"Christopher James Caiazzo"	"D"	"Scarborough"
29	"Shawn A. Babine"	"D"	"Scarborough"
30	"Anne M. Carney"	"D"	"Cape Elizabeth"
31	"Lois Galgay Reckitt"	"D"	"South Portland"
32	"Christopher J. Kessler"	"D"	"South Portland"
33	"Victoria E. Morales"	"D"	"South Portland"
34	"Andrew Gattine"	"D"	"Westbrook"
35	"Ann E. Peoples"	"D"	"Westbrook"
36	"Michael F. Brennan"	"D"	"Portland"
37	"Richard R. Farnsworth"	"D"	"Portland"
38	"Matthew W. Moonen"	"D"	"Portland"
39	"Michael A. Sylvester"	"D"	"Portland"
40	"Rachel Talbot Ross"	"D"	"Portland"
41	"Erik Clark Jorgensen"	"D"	"Portland"
42	"Benjamin T. Collings"	"D"	"Portland"
43	"W. Edward Crockett"	"D"	"Portland"
44	"Teresa S. Pierce"	"D"	"Falmouth"
45	"Dale Denno"	"D"	"Cumberland"
46	"Braden Sharpe"	"D"	"Durham"
47	"Janice E. Cooper"	"D"	"Yarmouth"
48	"Sara Gideon"	"D"	"Freeport"
49	"Matthea Daughtry"	"D"	"Brunswick"
50	"Ralph L. Tucker"	"D"	"Brunswick"
51	"Joyce McCreight"	"D"	"Harpswell"
52	"Jennifer DeChant"	"D"	"Bath"
53	"Allison Hepler"	"D"	"Woolwich"
54	"Denise A. Tepler"	"D"	"Topsham"
55	"Seth A. Berry"	"D"	"Bowdoinham"
56	"Richard G. Mason"	"R"	"Lisbon Falls"
57	"Thomas H. Martin"	"R"	"Greene"
58	"James R. Handy"	"D"	"Lewiston"
59	"Margaret M. Craven"	"D"	"Lewiston"
60	"Kristen Sarah Cloutier"	"D"	"Lewiston"
61	"Heidi E. Brooks"	"D"	"Lewiston"
62	"Gina M. Melaragno"	"D"	"Auburn"
63	"Bruce A. Bickford"	"R"	"Auburn"
64	"Bettyann W. Sheats"	"D"	"Auburn"
65	"Amy Bradstreet Arata"	"R"	"New Gloucester"
66	"Jessica L. Fay"	"D"	"Raymond"
67	"Susan M.W. Austin"	"R"	"Gray"
68	"Richard M. Cebra"	"R"	"Naples"
69	"Walter N. Riseman"	"U"	"Harrison"
70	"Nathan J. Wadsworth"	"R"	"Hiram"
71	"H. Sawin Millett"	"R"	"Waterford"
72	"Kathleen R. J. Dillingham"	"R"	"Oxford"
73	"John Andrews"	"R"	"Paris"
74	"Christina Riley"	"D"	"Jay"
75	"Joshua Morris"	"R"	"North Turner"
76	"Dennis Keschl"	"R"	"Belgrade"
77	"Michael D. Perkins"	"R"	"Oakland"
78	"Catherine M. Nadeau"	"D"	"Winslow"
79	"Timothy S. Theriault"	"R"	"China"
80	"Richard T . Bradstreet"	"R"	"Vassalboro"
81	"Craig V. Hickman"	"D"	"Winthrop"
82	"Kent Ackley"	"C"	"Monmouth"
83	"Thom A. Harnett"	"D"	"Gardiner"
84	"Charlotte Warren"	"D"	"Hallowell"
85	"Donna R. Doore"	"D"	"Augusta"
86	"Justin Fecteau"	"R"	"Augusta"
87	"Jeffery P. Hanley"	"R"	"Pittston"
88	"Chloe S. Maxmin"	"D"	"Nobleboro"
89	"Holly B. Stover"	"D"	"Boothbay"
90	"Michael Gilbert Devin"	"D"	"Newcastle"
91	"Jeffrey Evangelos"	"I"	"Friendship"
92	"Ann Higgins Matlack"	"D"	"Spruce Head"
93	"Pinny Beebe-Center"	"D"	"Rockland"
94	"Victoria W. Doudera"	"D"	"Camden"
95	"William D. Pluecker"	"I"	"Warren"
96	"Stanley Paige Zeigler"	"D"	"Montville"
97	"Janice S. Dodge"	"D"	"Belfast"
98	"Scott W. Cuddy"	"D"	"Winterport"
99	"MaryAnne Kinney"	"R"	"Knox"
100	"Danny Edward Costain"	"R"	"Plymouth"
101	"David G. Haggan"	"R"	"Hampden"
102	"Abigail W. Griffin"	"R"	"Levant"
103	"Roger E. Reed"	"R"	"Carmel"
104	"Steven D. Foster"	"R"	"Dexter"
105	"Joel R. Stetkis"	"R"	"Canaan"
106	"Scott Walter Strom"	"R"	"Pittsfield"
107	"Betty A. Austin"	"D"	"Skowhegan"
108	"Shelley Rudnicki"	"R"	"Fairfield"
109	"Bruce A. White"	"D"	"Waterville"
110	"Colleen M. Madigan"	"D"	"Waterville"
111	"Philip Alan Curtis"	"R"	"Madison"
112	"Thomas H. Skolfield"	"R"	"Weld"
113	"H. Scott Landry"	"D"	"Farmington"
114	"Randall C. Hall"	"R"	"East Dixfield"
115	"Josanne C. Dolloff"	"R"	"Rumford"
116	"Richard A. Pickett"	"R"	"Dixfield"
117	"Frances M. Head"	"R"	"Bethel"
118	"Chad Wayne Grignon"	"R"	"Athens"
119	"Paul A. Stearns"	"R"	"Guilford"
120	"Norman E. Higgins"	"I"	"Dover-Foxcroft"
121	"Gary A. Drinkwater"	"R"	"Milford"
122	"Michelle Dunphy"	"D"	"Old Town"
123	"Ryan S. Tipping"	"D"	"Orono"
124	"Aaron M. Frey"	"D"	"Bangor"
125	"Victoria P. Kornfield"	"D"	"Bangor"
126	"John C. Schneck"	"D"	"Bangor"
127	"Barbara A. Cardone"	"D"	"Bangor"
128	"Arthur C. Verow"	"D"	"Brewer"
129	"Peter A. Lyford"	"R"	"Eddington"
130	"Richard H. Campbell"	"R"	"Orrington"
131	"Sherman H. Hutchins"	"R"	"Penobscot"
132	"Nicole Grohoski"	"D"	"Ellsworth"
133	"Sarah Arline Pebworth"	"D"	"Blue Hill"
134	"Genevieve McDonald"	"D"	"Stonington"
135	"Brian L. Hubbell"	"D"	"Bar Harbor"
136	"William Billy Bob Faulkingham"	"R"	"Winter Harbor"
137	"Lawrence E. Lockman"	"R"	"Amherst"
138	"Robert W. Alley"	"D"	"Beals"
139	"William R. Tuell"	"R"	"East Machias"
140	"Anne C. Perry"	"D"	"Calais"
141	"Kathy Irene Javner"	"R"	"Chester"
142	"Sheldon M. Hanington"	"R"	"Lincoln"
143	"Stephen S. Stanley"	"D"	"Medway"
144	"Gregory Lewis Swallow"	"R"	"Houlton"
145	"Chris A. Johansen"	"R"	"Monticello"
146	"Dustin Michael White"	"R"	"Washburn"
147	"Harold L. Stewart"	"R"	"Presque Isle"
148	"David H. McCrea"	"D"	"Fort Fairfield"
149	"John DeVeau"	"R"	"Caribou"
150	"Roland Daniel Martin"	"D"	"Sinclair"
151	"John L. Martin"	"D"	"Eagle Lake"
