"District"	"Party"	"Name"
1	"D"	"Troy Jackson"
2	"D"	"Michael Carpenter"
3	"R"	"Bradlee Farrin"
4	"R"	"Paul Davis"
5	"D"	"James Dill"
6	"R"	"Marianne Moore"
7	"D"	"Louis Luchini"
8	"R"	"Kimberley Rosen"
9	"D"	"Geoffrey Gratwick"
10	"R"	"Stacey Guerin"
11	"D"	"Erin Herbig"
12	"D"	"David Miramant"
13	"R"	"Dana Dow"
14	"D"	"Shenna Bellows"
15	"R"	"Matthew Pouliot"
16	"R"	"Scott Cyrway"
17	"R"	"Russell Black"
18	"R"	"Lisa Keim"
19	"R"	"James Hamper"
20	"D"	"Ned Claxton"
21	"D"	"Nathan Libby"
22	"R"	"Jeffrey Timberlake"
23	"D"	"Eloise Vitelli"
24	"D"	"Everett Carson"
25	"D"	"Catherine Breen"
26	"D"	"G. William Diamond"
27	"D"	"Benjamin Chipman"
28	"D"	"Heather Sanborn"
29	"D"	"Rebecca Millett"
30	"D"	"Linda Sanborn"
31	"D"	"Justin Chenette"
32	"D"	"Susan Deschambault"
33	"R"	"David Woodsome"
34	"R"	"Robert Foley"
35	"D"	"Mark Lawrence"
