District	Name	Party	Residence	"Eligible for
re-election in 2018"
1	Coleman Young II	Dem	Detroit	No
2	Vacant			
3	Morris Hood III	Dem	Detroit	No
4	Ian Conyers	Dem	Detroit	Yes
5	David Knezek	Dem	Dearborn Heights	Yes
6	Hoon-Yung Hopgood	Dem	Taylor	No
7	Patrick Colbeck	Rep	Canton Township	No
8	Jack Brandenburg	Rep	Harrison Township	No
9	Steven Bieda	Dem	Warren	No
10	Tory Rocca	Rep	Sterling Heights	No
11	Vincent Gregory	Dem	Southfield	No
12	Jim Marleau	Rep	Lake Orion	No
13	Marty Knollenberg	Rep	Troy	Yes
14	David B. Robertson	Rep	Grand Blanc Township	No
15	Mike Kowall	Rep	White Lake Township	No
16	Mike Shirkey	Rep	Clarklake	Yes
17	Dale Zorn	Rep	Ida	Yes
18	Rebekah Warren	Dem	Ann Arbor	No
19	Mike Nofs	Rep	Battle Creek	No
20	Margaret O'Brien	Rep	Portage	Yes
21	John Proos	Rep	St. Joseph	No
22	Joe Hune	Rep	Hamburg Township	No
23	Curtis Hertel Jr.	Dem	East Lansing	Yes
24	Rick Jones	Rep	Grand Ledge	No
25	Phil Pavlov	Rep	St. Clair Township	No
26	Tonya Schuitmaker	Rep	Antwerp Township	No
27	Jim Ananich	Dem	Flint	Yes
28	Peter MacGregor	Rep	Rockford	Yes
29	Dave Hildenbrand	Rep	Lowell	No
30	Arlan Meekhof	Rep	West Olive	No
31	Mike Green	Rep	Mayville	No
32	Kenneth Horn	Rep	Frankenmuth	Yes
33	Judy Emmons	Rep	Sheridan	No
34	Goeff Hansen	Rep	Hart	No
35	Darwin L. Booher	Rep	Evart	No
36	Jim Stamas	Rep	Midland	Yes
37	Wayne Schmidt	Rep	Traverse City	Yes
38	Tom Casperson	Rep	Escanaba	No
