District	Name	Party	Residence	First elected
1	Mark Johnson	Republican	East Grand Forks	2016
2	Paul Utke	Republican	Park Rapids	2016
3	Tom Bakk	DFL	Cook	2002
4	Kent Eken	DFL	Twin Valley	2012
5	Justin Eichorn	Republican	Grand Rapids	2016
6	David Tomassoni	DFL	Chisholm	2000
7	Erik Simonson	DFL	Duluth	2016
8	Bill Ingebrigtsen	Republican	Alexandria	2006
9	Paul Gazelka	Republican	Nisswa	2010
10	Carrie Ruud	Republican	Breezy Point	2002, 2012†
11	Tony Lourey	DFL	Kerrick	2006
12	Torrey Westrom	Republican	Elbow Lake	2012
13	Vacant pending a special election.			
14	Jerry Relph	Republican	St. Cloud	2016
15	Andrew Mathews	Republican	Milaca	2016
16	Gary Dahms	Republican	Redwood Falls	2010
17	Andrew Lang	Republican	Olivia	2016
18	Scott Newman	Republican	Hutchinson	2010
19	Nick Frentz	DFL	North Mankato	2016
20	Rich Draheim	Republican	Madison Lake	2016
21	Mike Goggin	Republican	Red Wing	2016
22	Bill Weber	Republican	Luverne	2012
23	Julie Rosen	Republican	Vernon Center	2002
24	John Jasinski	Republican	Faribault	2016
25	Dave Senjem	Republican	Rochester	2002
26	Carla Nelson	Republican	Rochester	2010
27	Dan Sparks	DFL	Austin	2002
28	Jeremy Miller	Republican	Winona	2010
29	Bruce Anderson	Republican	Buffalo	2012
30	Mary Kiffmeyer	Republican	Big Lake	2012
31	Michelle Benson	Republican	Ham Lake	2010
32	Mark Koran	Republican	North Branch	2016
33	David Osmek	Republican	Mound	2012
34	Warren Limmer	Republican	Maple Grove	1995*
35	Jim Abeler	Republican	Anoka	2016*
36	John Hoffman	DFL	Champlin	2012
37	Jerry Newton	DFL	Coon Rapids	2016
38	Roger Chamberlain	Republican	Lino Lakes	2010
39	Karin Housley	Republican	St. Marys Point	2012
40	Chris Eaton	DFL	Brooklyn Center	2011*
41	Carolyn Laine	DFL	Columbia Heights	2016
42	Jason Isaacson	DFL	Shoreview	2016
43	Chuck Wiger	DFL	Maplewood	1996
44	Paul Anderson	Republican	Plymouth	2016
45	Ann Rest	DFL	New Hope	2000
46	Ron Latz	DFL	St. Louis Park	2006
47	Scott Jensen	Republican	Chaska	2016
48	Steve Cwodzinski	DFL	Eden Prairie	2016
49	Melisa Franzen	DFL	Edina	2012
50	Melissa Halvorson Wiklund	DFL	Bloomington	2012
51	Jim Carlson	DFL	Eagan	2006, 2012†
52	Matt Klein	DFL	Mendota Heights	2016
53	Susan Kent	DFL	Woodbury	2012
54	Karla Bigham	DFL	Cottage Grove	2018*
55	Eric Pratt	Republican	Prior Lake	2012
56	Dan Hall	Republican	Burnsville	2010
57	Greg Clausen	DFL	Apple Valley	2012
58	Matt Little	DFL	Lakeville	2016
59	Bobby Joe Champion	DFL	Minneapolis	2012
60	Kari Dziedzic	DFL	Minneapolis	2012*
61	Scott Dibble	DFL	Minneapolis	2002
62	Jeff Hayden	DFL	Minneapolis	2011*
63	Patricia Torres Ray	DFL	Minneapolis	2006
64	Dick Cohen	DFL	Saint Paul	1986
65	Sandy Pappas	DFL	Saint Paul	1990
66	John Marty	DFL	Roseville	1986
67	Foung Hawj	DFL	Saint Paul	2012
