District	Name	Party	Residence
1	Scott Sifton	Dem	St. Louis
2	Bob Onder	Rep	Lake St. Louis
3	Gary Romine	Rep	Farmington
4	Jacob Hummel	Dem	St. Louis
5	Jamilah Nasheed	Dem	St. Louis
6	Vacant (was Mike Kehoe)		
7	Jason R. Holsman	Dem	Kansas City
8	Mike Cierpiot	Rep	Kansas City
9	Kiki Curls	Dem	Kansas City
10	Jeanie Riddle	Rep	Mokane
11	John Rizzo	Dem	Kansas City
12	Dan Hegeman	Rep	Cosby
13	Gina Walsh	Dem	Spanish Lake
14	Maria Chappelle-Nadal	Dem	University City
15	Andrew Koenig	Rep	Manchester (St. Louis Co.)
16	Dan Brown	Rep	Rolla
17	Lauren Arthur	Dem	Kansas City
18	Brian Munzlinger	Rep	Williamstown
19	Caleb Rowden	Rep	Columbia
20	Jay Wasson	Rep	Nixa
21	Denny Hoskins	Rep	Warrensburg
22	Paul Wieland	Rep	Imperial
23	Bill Eigel	Rep	Weldon Spring
24	Jill Schupp	Dem	St. Louis
25	Doug Libla	Rep	Poplar Bluff
26	Dave Schatz	Rep	Sullivan
27	Wayne Wallingford	Rep	Cape Girardeau
28	Sandy Crawford	Rep	Buffalo
29	David Sater	Rep	Cassville
30	Bob Dixon	Rep	Springfield
31	Ed Emery	Rep	Lamar
32	Ron Richard	Rep	Joplin
33	Mike Cunningham	Rep	Marshfield
34	Rob Schaaf	Rep	St. Joseph
