District	Name	Party	Residence	First elected
1	Chas Vincent	Rep	Libby	2010
2	Dee L. Brown	Rep	Hungry Horse	2012
3	Keith Regier	Rep	Kalispell	2016
4	Mark Blasdel	Rep	Somers	2014
5	Bob Keenan	Rep	Kalispell	2014
6	Albert Olszewski	Rep	Kalispell	2016
7	Jennifer Fielder	Rep	Thompson Falls	2012
8	Lea Whitford	Dem	Cut Bank	2014
9	Llew Jones	Rep	Conrad	2010
10	Steve Fitzpatrick	Rep	Great Falls	2016
11	Edward Buttrey	Rep	Great Falls	2014
12	Carlie Boland	Dem	Great Falls	2018
13	Brian Hoven	Rep	Great Falls	2014
14	Russel Tempel	Rep	Chester	2016
15	Ryan Osmundson	Rep	Buffalo	2016
16	Frank Smith	Dem	Poplar	2016
17	Mike Lang	Rep	Malta	2016
18	Steve Hinebauch	Rep	Wibaux	2016
19	Frederick Moore	Rep	Miles City	2010
20	Duane Ankney	Rep	Colstrip	2014
21	Jason Small	Rep	Busby	2016
22	Douglas Kary	Rep	Billings	2014
23	Roger Webb	Rep	Billings	2012
24	Mary McNally	Dem	Billings	2014
25	Jen Gross	Dem	Billings	2016
26	Margaret MacDonald	Dem	Helena	2016
27	Cary Smith	Rep	Billings	2014
28	Tom Richmond	Rep	Billings	2016
29	David Howard	Rep	Park City	2014
30	Nels Swandal	Rep	Wilsall	2014
31	Mike Phillips	Dem	Bozeman	2012
32	Jedediah Hinkle	Rep	Bozeman	2014
33	Jennifer Pomnichowski	Dem	Bozeman	2014
34	Gordon Vance	Rep	Bozeman	2014
35	Scott Sales	Rep	Bozeman	2012
36	Jeffrey Welborn	Rep	Dillon	2016
37	Jon Sesso	Dem	Butte	2012
38	Edith McClafferty	Dem	Butte	2016
39	Gene Vuckovich	Dem	Anaconda	2010
40	Terry Gauthier	Rep	Helena	2016
41	Mary Caferro	Dem	Helena	2010
42	Jill Cohenour	Dem	East Helena	2014
43	Pat Connell	Rep	Hamilton	2014
44	Fred Thomas	Rep	Stevensville	2012
45	Dick Barrett	Dem	Missoula	2012
46	Sue Malek	Dem	Missoula	2012
47	Daniel Salomon	Rep	Ronan	2016
48	Cynthia Wolken	Dem	Missoula	2014
49	Diane Sands	Dem	Missoula	2014
50	Tom Facey	Dem	Missoula	2010
