District	Name	Party	Residence	Counties Represented	Terms in Senate (+ indicates partial term)
1	Bill Cook	Republican	Chocowinity	Beaufort, Camden, Currituck, Dare, Gates, Hyde, Pasquotank, Perquimans	2
2	Norman W. Sanderson	Republican	Minnesott Beach	Carteret, Craven, Pamlico	2
3	Erica D. Smith	Democratic	Henrico	Bertie, Chowan, Edgecombe, Hertford, Martin, Northampton, Tyrrell, Washington	2
4	"Milton F. ""Toby"" Fitch, Jr.[6]"	Democratic	Wilson	Halifax, Nash, Vance, Warren, Wilson	+
5	Don Davis	Democratic	Greenville	Greene, Lenoir, Pitt, Wayne	4
6	Harry Brown	Republican	Jacksonville	Jones, Onslow	7
7	Louis Pate	Republican	Mount Olive	Lenoir, Pitt, Wayne	4
8	Bill Rabon	Republican	Southport	Bladen, Brunswick, New Hanover, Pender	4
9	Michael V. Lee	Republican	Wilmington	New Hanover	2+
10	Brent Jackson	Republican	Autryville	Duplin, Johnston, Samson	4
11	Rick Horner	Republican	Bailey	Johnston, Nash, Wilson	1
12	Ronald J. Rabin	Republican	Spring Lake	Harnett, Johnston, Lee	3
13	Danny Earl Britt, Jr.	Republican	Lumberton	Columbus, Robeson	1
14	Dan Blue	Democratic	Raleigh	Wake	4+
15	John M. Alexander, Jr.	Republican	Raleigh	Wake	2
16	Jay J. Chaudhuri	Democratic	Raleigh	Wake	1+
17	Tamara Barringer	Republican	Cary	Wake	3+
18	Chad Barefoot	Republican	Wake Forest	Franklin, Wake	3
19	Wesley Meredith	Republican	Fayetteville	Cumberland	4
20	Floyd B. McKissick, Jr.	Democratic	Durham	Durham, Granville	5+
21	Ben Clark	Democratic	Raeford	Cumberland, Hoke	3
22	Mike Woodard	Democratic	Durham	Caswell, Durham, Person	3
23	Valerie P. Foushee	Democratic	Hillsborough	Chatham, Orange	2+
24	Rick Gunn	Republican	Burlington	Alamance, Randolph	4
25	Tom McInnis	Republican	Ellerbe	Anson, Richmond, Rowan, Scotland, Stanly	2
26	Phil Berger	Republican	Eden	Guilford, Rockingham	9
27	Trudy Wade	Republican	Greensboro	Guilford	3
28	Gladys A. Robinson	Democratic	Greensboro	Guilford	4
29	Jerry W. Tillman	Republican	Archdale	Moore, Randolph	8
30	Shirley B. Randleman	Republican	Wilkesboro	Stokes, Surry, Wilkes	3
31	Joyce Krawiec	Republican	Kernersville	Forsyth, Yadkin	2+
32	Paul A. Lowe, Jr.	Democratic	Winston-Salem	Forsyth	1+
33	Cathy Dunn	Republican	Southmont	Davidson, Montgomery	1
34	Dan Barrett	Republican	Advance	Davie, Iredell, Rowan	+
35	Tommy Tucker	Republican	Waxhaw	Union	4
36	Paul Newton	Republican	Concord	Cabarrus, Union	1
37	Jeff Jackson	Democratic	Charlotte	Mecklenburg	2+
38	Joel D. M. Ford	Democratic	Charlotte	Mecklenburg	3
39	Dan Bishop	Republican	Charlotte	Mecklenburg	1
40	Joyce Waddell	Democratic	Charlotte	Mecklenburg	2
41	Jeff Tarte	Republican	Cornelius	Mecklenburg	3
42	Andy Wells	Republican	Hickory	Alexander, Catawba	2
43	Kathy Harrington	Republican	Gastonia	Gaston	4
44	Vickie Sawyer	Republican	Mooresville	Gaston, Iredell, Lincoln	+
45	Deanna Ballard	Republican	Blowing Rock	Alleghany, Ashe, Avery, Caldwell, Watauga	1+
46	Warren Daniel	Republican	Morganton	Burke, Cleveland	4
47	Ralph Hise	Republican	Spruce Pine	Madison, McDowell, Mitchell, Polk, Rutherford, Yancey	4
48	Chuck Edwards	Republican	Flat Rock	Buncombe, Henderson, Transylvania	1+
49	Terry Van Duyn	Democratic	Asheville	Buncombe	2+
50	Jim Davis	Republican	Franklin	Cherokee, Clay, Graham, Haywood, Jackson, Macon, Swain	4
