District	Name	Party	Residence	First elected	Seat up
1	Brad Bekkedahl	Rep	Williston	2014	2018
2	David Rust	Rep	Tioga	2015†	2020
3	Oley Larsen	Rep	Minot	2010	2018
4	Jordan Kannianen	Rep	Belden	2016	2020
5	Randy Burckhard	Rep	Minot	2010	2018
6	Shawn Vedaa	Rep	Velva	2016	2020
7	Nicole Poolman	Rep	Bismarck	2012	2018
8	Howard Anderson Jr.	Rep	Turtle Lake	2012	2020
9	Richard Marcellais	Dem-NPL	Belcourt	2006	2018
10	Janne Myrdal	Rep	Edinburg	2016	2020
11	Tim Mathern	Dem-NPL	Fargo	1986	2018
12	John Grabinger	Dem-NPL	Jamestown	2012	2020
13	Judy Lee	Rep	West Fargo	1994	2018
14	Jerry Klein	Rep	Fessenden	1996	2020
15	Dave Oehlke	Rep	Devils Lake	2006	2018
16	David Clemens	Rep	West Fargo	2016	2020
17	Ray Holmberg	Rep	Grand Forks	1976	2018
18	Scott Meyer	Rep	Grand Forks	2016	2020
19	Tom Campbell	Rep	Grafton	2012	2018
20	Arne Osland	Rep	Mayville	2016	2020
21	Carolyn Nelson	Dem-NPL	Fargo	1994	2018
22	Gary Lee	Rep	Casselton	2000	2020
23	Joan Heckaman	Dem-NPL	New Rockford	2006	2018
24	Larry Robinson	Dem-NPL	Valley City	1988	2020
25	Larry Luick	Rep	Fairmount	2010	2018
26	Jim Dotzenrod	Dem-NPL	Wyndmere	2008	2020
27	Jonathan Casper	Rep	Fargo	2014	2018
28	Robert Erbele	Rep	Lehr	2000	2020
29	Terry Wanzek	Rep	Jamestown	1994	2018
30	Diane Larson	Rep	Bismarck	2016	2020
31	Donald Schaible	Rep	Mott	2010	2018
32	Dick Dever	Rep	Bismarck	2008	2020
33	Jessica Unruh	Rep	Beulah	2012†	2018
34	Dwight Cook	Rep	Mandan	1996	2020
35	Erin Oban	Dem-NPL	Bismarck	2014	2018
36	Kelly Armstrong	Rep	Dickinson	2012	2020
37	Rich Wardner	Rep	Dickinson	1998	2018
38	David Hogue	Rep	Minot	2008	2020
39	Bill Bowman	Rep	Bowman	1990	2018
40	Karen Krebsbach	Rep	Minot	1988	2020
41	Kyle Davison	Rep	Fargo	2014	2018
42	Curt Kreun	Rep	Grand Forks	2016	2020
43	Lonnie Laffen	Rep	Grand Forks	2010	2018
44	Merrill Piepkorn	Dem-NPL	Fargo	2016	2020
45	Ronald Sorvaag	Rep	Fargo	2010	2018
46	Jim Roers	Rep	Fargo	"2016
2012"	2020
47	Ralph Kilzer	Rep	Bismarck	1998	2018
