District	Name	Party	Residence	First elected
1	Jeff Woodburn	Dem	Dalton	2012
2	Bob Giuda	Rep	Warren	2016
3	Jeb Bradley	Rep	Wolfeboro	2009
4	David H. Watters	Dem	Dover	2012
5	Martha S. Hennessey	Dem	Hanover	2016
6	James P. Gray	Rep	Rochester	2016
7	Harold F. French	Rep	Franklin	2016
8	Ruth Ward	Rep	Stoddard	2016
9	Andy Sanborn	Rep	Bedford	2010
10	Jay Kahn	Dem	Keene	2016
11	Gary L. Daniels	Rep	Milford	2014
12	Kevin Avard	Rep	Nashua	2014
13	Bette Lasky	Dem	Nashua	2012 (2008-2010)
14	Sharon Carson	Rep	Londonderry	2008
15	Dan Feltes	Dem	Concord	2014
16	Kevin Cavanaugh	Dem	Manchester	2017
17	John Reagan	Rep	Deerfield	2012
18	Donna Soucy	Dem	Manchester	2012
19	Regina Birdsell	Rep	Hampstead	2014
20	Lou D'Allesandro	Dem	Manchester	1998
21	Martha Fuller Clark	Dem	Portsmouth	2012 (2004-2010)
22	Chuck Morse	Rep	Salem	2010 (2002-2006)
23	Bill Gannon	Rep	Sandown	2016
24	Dan Innis	Rep	New Castle	2016
