District 1	Name	Party
District 1	Jeff Van Drew	D
District 2	Chris A. Brown	R
District 3	Stephen M. Sweeney	D
District 4	Fred H. Madden	D
District 5	Nilsa Cruz-Perez	D
District 6	James Beach	D
District 7	Troy Singleton	D
District 8	Dawn Marie Addiego	R
District 9	Christopher J. Connors	R
District 10	James W. Holzapfel	R
District 11	Vin Gopal	D
District 12	Samuel D. Thompson	R
District 13	Declan O'Scanlon	R
District 14	Linda R. Greenstein	D
District 15	Shirley Turner	D
District 16	Christopher Bateman	R
District 17	Bob Smith	D
District 18	Patrick J. Diegnan	D
District 19	Joseph Vitale	D
District 20	Joseph Cryan	D
District 21	Thomas Kean, Jr.	R
District 22	Nicholas Scutari	D
District 23	Michael J. Doherty	R
District 24	Steve Oroho	R
District 25	Anthony Bucco	R
District 26	Joseph Pennacchio	R
District 27	Richard Codey	D
District 28	Ronald Rice	D
District 29	Teresa Ruiz	D
District 30	Robert Singer	R
District 31	Sandra Bolden Cunningham	D
District 32	Nicholas Sacco	D
District 33	Brian P. Stack	D
District 34	Nia Gill	D
District 35	Nellie Pou	D
District 36	Paul Sarlo	D
District 37	Loretta Weinberg	D
District 38	Joseph Lagana	D
District 39	Gerald Cardinale	R
District 40	Kristin Corrado	R
