District	Representative [4]	Party	Residence	First elected	Counties represented
1	William E. Sharer	Rep	Farmington	2000	San Juan (part)
2	Steven P. Neville	Rep	Aztec	2004	San Juan (part)
3	John Pinto	Dem	Gallup	1976	McKinley (part), San Juan (part)
4	George K. Muñoz	Dem	Gallup	2008	Cibola (part), McKinley (part), San Juan (part)
5	Richard C. Martinez	Dem	Española	2000	Los Alamos (part), Rio Arriba (part), Sandoval (part), Santa Fe (part)
6	Carlos R. Cisneros	Dem	Questa	1984	Los Alamos (part), Rio Arriba (part), Santa Fe (part), Taos (part)
7	Pat Woods	Rep	Broadview	2012	Curry (part), Quay (part), Union
8	Pete Campos	Dem	Las Vegas	1991	Colfax, Guadalupe, Harding, Mora, Quay (part), San Miguel (part), Taos (part)
9	John M. Sapien	Dem	Corrales	2008	Bernalillo (part), Sandoval (part)
10	Candace Gould	Rep	Albuquerque	2017	Bernalillo (part), Sandoval (part)
11	Linda M. Lopez	Dem	Albuquerque	1996	Bernalillo (part)
12	Jerry Ortiz y Pino	Dem	Albuquerque	2004	Bernalillo (part)
13	Bill B. O'Neill	Dem	Albuquerque	2012	Bernalillo (part)
14	Michael Padilla	Dem	Albuquerque	2012	Bernalillo (part)
15	Daniel A. Ivey-Soto	Dem	Albuquerque	2012	Bernalillo (part)
16	Cisco McSorley	Dem	Albuquerque	1996	Bernalillo (part)
17	Mimi Stewart	Dem	Albuquerque	2015	Bernalillo (part)
18	Bill Tallman	Dem	Albuquerque	2017	Bernalillo (part)
19	James P. White	Rep	Albuquerque	2017	Bernalillo (part), Sandoval (part), Santa Fe (part), Torrance (part)
20	William H. Payne	Rep	Albuquerque	1996	Bernalillo (part)
21	Mark Moores	Rep	Albuquerque	2012	Bernalillo (part)
22	Benny Shendo	Dem	Jemez Pueblo	2012	Bernalillo (part), McKinley (part), Rio Arriba (part), San Juan (part), Sandoval (part)
23	Sander Rue	Rep	Albuquerque	2008	Bernalillo (part)
24	Nancy Rodriguez	Dem	Santa Fe	1996	Santa Fe (part)
25	Peter Wirth	Dem	Santa Fe	2004	Santa Fe (part)
26	Jacob R. Candelaria	Dem	Albuquerque	2012	Bernalillo (part)
27	Stuart Ingle	Rep	Portales	1984	Chaves (part), Curry (part), De Baca, Lea (part), Roosevelt
28	Howie C. Morales	Dem	Silver City	2008	Catron, Grant, Socorro (part)
29	Gregory Baca	Rep	Belen	2017	Bernalillo (part), Valencia (part)
30	Clemente Sanchez	Dem	Grants	2012	Cibola (part), McKinley (part), Socorro (part), Valencia (part)
31	Joseph Cervantes	Dem	Las Cruces	2012	Doña Ana (part)
32	Cliff R. Pirtle	Rep	Roswell	2012	Chaves (part), Eddy (part), Lincoln (part)
33	William F. Burt	Rep	Alamogordo	2010	Chaves (part), Lincoln (part), Otero (part)
34	Ron Griggs	Rep	Alamogordo	2012	Eddy (part), Otero (part)
35	John Arthur Smith	Dem	Deming	1989	Doña Ana (part), Hidalgo, Luna, Sierra
36	Jeff Steinborn	Dem	Las Cruces	2016	Doña Ana (part)
37	William P. Soules	Dem	Las Cruces	2012	Doña Ana (part), Sierra (part)
38	Mary Kay Papen	Dem	Las Cruces	2000	Doña Ana (part)
39	Liz Stefanics	Dem	Cerrillos	2017	Bernalillo (part), Lincoln (part), Santa Fe (part), San Miguel (part), Torrance (part), Valencia (part)
40	Craig W. Brandt	Rep	Rio Rancho	2012	Sandoval (part)
41	Carroll H. Leavell	Rep	Jal	1996	Eddy (part), Lea (part)
42	Gay G. Kernan	Rep	Hobbs	2001	Chaves (part), Eddy (part), Lea (part)
