District	"Assembly
Districts"	Name	Party	Residence	Assumed office	Next election
1	1, 17	Pat Spearman	Democratic	North Las Vegas	2012	2020
2	11, 28	Mo Denis	Democratic	Las Vegas	2010	2022
3	3, 10	Tick Segerblom	Democratic	Las Vegas	2012	2020
4	6, 7	Kelvin Atkinson	Democratic	North Las Vegas	2012	2020
5	21, 29	Joyce Woodhouse	Democratic	Henderson	20121	2020
6	34, 37	Nicole Cannizzaro	Democratic	Las Vegas	2016	2020
7	18, 20	David Parks	Democratic	Las Vegas	2008	2020
8	2, 5	Marilyn Dondero Loop	Democratic	Las Vegas	2018	2022
9	9, 35	Melanie Scheible	Democratic	Las Vegas	2018	2022
10	15, 16	Yvanna Cancela	Democratic	Las Vegas	20162	2022
11	8, 42	Aaron D. Ford	Democratic	Las Vegas	2012	2020
12	19, 23	Joe Hardy	Republican	Boulder City	2010	2022
13	24, 30	Julia Ratti	Democratic	Sparks	20162	2022
14	31, 32	Ira Hansen	Republican	Sparks	2018	2022
15	25, 27	Heidi Gansert	Republican	Reno	2016	2020
16	26, 40	Ben Kieckhefer	Republican	Reno	2010	2022
17	38, 39	James Settelmeyer	Republican	Minden	2010	2022
18	4, 13	Scott Hammond	Republican	Las Vegas	2012	2020
19	33, 36	Pete Goicoechea	Republican	Eureka	2012	2020
20	22, 41	Michael Roberson	Republican	Las Vegas	2010	2018
21	12, 14	James Ohrenschall	Democratic	Las Vegas	2018	2022
