District	Name	Party	First elected	Counties Represented
1	Kenneth P. LaValle	Republican	1976	Suffolk
2	John J. Flanagan	Republican	2002	Suffolk
3	Thomas Croci	Republican	2014	Suffolk
4	Phil Boyle	Republican	2012	Suffolk
5	Carl L. Marcellino	Republican	1995*	Nassau, Suffolk
6	Kemp Hannon	Republican	1989*	Nassau
7	Elaine Phillips	Republican	2016	Nassau
8	John Brooks	Democratic	2016	Nassau, Suffolk
9	Todd Kaminsky	Democratic	2016*	Nassau
10	James Sanders, Jr.	Democratic	2012	Queens
11	Tony Avella	Democratic	2010	Queens
12	Michael N. Gianaris	Democratic	2010	Queens
13	Jose Peralta	Democratic	2010*	Queens
14	Leroy Comrie	Democratic	2014	Queens
15	Joseph Addabbo, Jr.	Democratic	2008	Queens
16	Toby Ann Stavisky	Democratic	1999*	Queens
17	Simcha Felder	Democratic[101]	2012	Kings (Brooklyn)
18	Martin Malave Dilan	Democratic	2002	Kings
19	Roxanne Persaud	Democratic	2015*	Kings
20	Jesse Hamilton	Democratic	2014	Kings
21	Kevin S. Parker	Democratic	2002	Kings
22	Martin J. Golden	Republican	2002	Kings
23	Diane Savino	Democratic	2004	Kings, Richmond (Staten Island)
24	Andrew J. Lanza	Republican	2006	Richmond
25	Velmanette Montgomery	Democratic	1984	Kings
26	Brian Kavanagh	Democratic	2017*	Kings, New York (Manhattan)
27	Brad Hoylman	Democratic	2012	New York
28	Liz Krueger	Democratic	2002*	New York
29	Jose M. Serrano	Democratic	2004	New York, Bronx
30	Brian Benjamin	Democratic	2017*	New York
31	Marisol Alcantara	Democratic	2016	New York
32	Luis Sepúlveda	Democratic	2018*	Bronx
33	Gustavo Rivera	Democratic	2010	Bronx
34	Jeffrey D. Klein	Democratic	2004	Bronx, Westchester
35	Andrea Stewart-Cousins	Democratic	2006	Westchester
36	Jamaal Bailey	Democratic	2016	Bronx, Westchester
37	Shelley Mayer	Democratic	2018*	Westchester
38	David Carlucci	Democratic	2010	Rockland, Westchester
39	William J. Larkin, Jr.	Republican	1990	Orange, Rockland, Ulster
40	Terrence P. Murphy	Republican	2014	Dutchess, Putnam, Westchester
41	Susan J. Serino	Republican	2014	Dutchess, Putnam
42	John J. Bonacic	Republican	1998	Delaware, Orange, Sullivan, Ulster
43	Kathleen A. Marchione	Republican	2012	Columbia, Rensselaer, Saratoga, Washington
44	Neil Breslin	Democratic	1996	Albany, Rensselaer
45	Betty Little	Republican	2002	Clinton, Essex, Franklin, Saint Lawrence, Warren, Washington
46	George A. Amedore, Jr.	Republican	2014	Albany, Greene, Montgomery, Schenectady, Ulster
47	Joseph Griffo	Republican	2006	Lewis, Oneida, St. Lawrence
48	Patty Ritchie	Republican	2010	Jefferson, Oswego, St. Lawrence
49	Jim Tedisco	Republican	2016	Fulton, Hamilton, Herkimer, Saratoga, Schenectady
50	John DeFrancisco	Republican	1992	Cayuga, Onondaga
51	James Seward	Republican	1986	Cayuga, Chenango, Cortland, Delaware, Herkimer, Otsego, Schoharie, Tompkins, Ulster
52	Fred Akshar	Republican	2015*	Broome, Chenango, Delaware, Tioga
53	David Valesky	Democratic	2004	Madison, Oneida, Onondaga
54	Pam Helming	Republican	2016	Cayuga, Monroe, Ontario, Seneca, Tompkins, Wayne
55	Richard Funke	Republican	2014	Monroe, Ontario
56	Joseph Robach	Republican	2002	Monroe
57	Catharine Young	Republican	2005*	Allegany, Cattaraugus, Chautauqua, Livingston
58	Tom O'Mara	Republican	2010	Chemung, Schuyler, Steuben, Tompkins, Yates
59	Patrick Gallivan	Republican	2010	Erie, Livingston, Monroe, Wyoming
60	Chris Jacobs	Republican	2016	Erie
61	Michael H. Ranzenhofer	Republican	2008	Erie, Genesee, Monroe
62	Robert G. Ortt	Republican	2014	Monroe, Niagara, Orleans
63	Timothy M. Kennedy	Democratic	2010	Erie
