District	Name	Party	Residence	Counties represented	Seniority	Term Limited	First Elected
1	Rob McColley	Rep	Napoleon	Auglaize, Defiance, Fulton, Hancock, Hardin, Henry, Paulding, Putnam, Van Wert, Williams	33	2026	2017*
2	Randy Gardner	Rep	Bowling Green	Erie, Fulton, Lucas, Ottawa, Wood	18	2020	2012
3	Kevin Bacon	Rep	Columbus	Franklin	5	2018	2010
4	Bill Coley	Rep	West Chester	Butler	13	2020	2011*
5	Bill Beagle	Rep	Tipp City	Darke, Miami, Montgomery, Preble	8	2018	2010
6	Peggy Lehner	Rep	Kettering	Montgomery	11	2020	2011*
7	Steve Wilson	Rep	Maineville	Butler, Hamilton, Warren	32	2026	2017*
8	Louis Terhar	Rep	Cincinnati	Hamilton	28	2024	2016
9	Cecil Thomas	Dem	Cincinnati	Hamilton	23	2022	2014
10	Bob Hackett	Rep	London	Clark, Greene, Madison	24	2024	2016*
11	Edna Brown	Dem	Toledo	Lucas	3	2018	2010
12	Matt Huffman	Rep	Lima	Allen, Auglaize, Champaign, Darke, Logan, Mercer, Shelby	26	2024	2016
13	Gayle Manning	Rep	North Ridgeville	Huron, Lorain	10	2018	2010
14	Joe Uecker	Rep	Loveland	Adams, Brown, Clermont, Lawrence, Scioto	19	2020	2012
15	Charleta Tavares	Dem	Columbus	Franklin	6	2018	2010
16	Stephanie Kunze	Rep	Hilliard	Franklin	30	2024	2016
17	Bob Peterson	Rep	Sabina	Clinton, Fayette, Gallia, Highland, Jackson, Pickaway, Pike, Ross, Lawrence, Vinton	17	2022	2012*
18	John Eklund	Rep	Chardon	Geauga, Lake, Portage	16	2020	2011*
19	Kris Jordan	Rep	Ostrander	Delaware, Franklin, Knox	7	2018	2010
20	Troy Balderson	Rep	Zanesville	Athens, Fairfield, Guernsey, Hocking, Morgan, Muskingum, Pickaway	14	2020	2011*
21	Sandra Williams	Dem	Cleveland	Cuyahoga	21	2022	2014
22	Larry Obhof	Rep	Medina	Ashland, Holmes, Medina, Richland	12	2020	2011*
23	Mike Skindell	Dem	Lakewood	Cuyahoga	4	2018	2010
24	Matt Dolan	Rep	Chagrin Falls	Cuyahoga	29	2024	2016
25	Kenny Yuko	Dem	Richmond Heights	Cuyahoga, Lake	22	2022	2014
26	David Burke	Rep	Marysville	Crawford, Marion, Morrow, Sandusky, Seneca, Union, Wyandot	15	2020	2011*
27	Frank LaRose	Rep	Copley	Stark, Summit, Wayne	9	2018	2010
28	Vernon Sykes	Dem	Akron	Summit	25	2024	2016
29	Scott Oelslager	Rep	Canton	Stark	2	2018	2010
30	Frank Hoagland	Rep	Adena	Athens, Belmont, Carroll, Harrison, Jefferson, Meigs, Monroe, Noble, Vinton, Washington	31	2024	2016
31	Jay Hottinger	Rep	Newark	Coshocton, Holmes, Licking, Perry, Tuscarawas	20	2022	2014
32	Sean O'Brien	Dem	Hubbard	Ashtabula, Geauga, Trumbull	27	2024	2016
33	Joe Schiavoni	Dem	Boardman	Columbiana, Mahoning	1	2018	2009*
