District	Name	Party	Hometown	First Elected	Seat Up
Lt-Gov	Todd Lamb	Rep	Oklahoma City	2010	2018 (term-limited)
1	Micheal Bergstorm	Rep	Adair	2016	2020
2	Marty Quinn	Rep	Claremore	2014	2018
3	Wayne Shaw	Rep	Grove	2012	2020
4	Mark Allen	Rep	Spiro	2010	2018
5	Joseph Silk	Rep	Broken Bow	2014†	2020
6	Josh Brecheen	Rep	Coalgate	2010	2018
7	Larry Boggs	Rep	Red Oak	2012	2020
8	Roger Thompson	Rep	Okemah	2014	2018
9	Dewayne Pemberton	Rep	Muskogee	2016	2020
10	Eddie Fields	Rep	Pawhuska	2010	2018
11	Kevin Matthews	Dem	Tulsa	2015†	2020
12	James Leewright	Rep	Bristow	2016	2020
13	Greg McCortney	Rep	Ada	2016	2020
14	Frank Simpson	Rep	Ardmore	2010	2018
15	Rob Standridge	Rep	Norman	2012	2020
16	John Sparks	Dem	Norman	2006	2018 (term-limited)
17	Ron Sharp	Rep	Shawnee	2012	2020
18	Kim David	Rep	Wagoner	2010	2018
19	Roland Pederson	Rep	Burlington	2016	2020
20	"Ann ""A.J."" Gay Griffin"	Rep	Guthrie	2012†	2018
21	Tom Dugger	Rep	Stillwater	2016	2020
22	Stephanie Bice	Rep	Oklahoma City	2014	2018
23	Lonnie Paxton	Rep	Tuttle	2016	2020
24	Anthony Sykes	Rep	Moore	2006	2018 (term-limited)
25	Joe Newhouse	Rep	Broken Arrow	2016	2020
26	Darcy Jech	Rep	Kingfisher	2014	2018
27	Casey Murdock	Rep	Felt	2018†	
28	Jason Smalley	Rep	Stroud	2014	2018
29	Julie Daniels	Rep	Bartlesville	2016	2020
30	Vacant		Oklahoma City	2018	
31	Chris Kidd	Rep	Waurika	2016	2020
32	Randy Bass	Dem	Lawton	2004†	2018 (term-limited)^
33	Nathan Dahm	Rep	Tulsa	2012	2020
34	J.J. Dossett	Dem	Owasso	2016†	2018
35	Gary Stanislawski	Rep	Tulsa	2008	2020 (term-limited)
36	Bill Brown	Rep	Broken Arrow	2006	2018 (term-limited)
37	Allison Ikley-Freeman	Dem	Tulsa	2018	
38	Mike Schulz	Rep	Altus	2006†	2018 (term-limited)^
39	Dave Rader	Rep	Tulsa	2016	2020
40	Ervin Yen	Rep	Oklahoma City	2014	2018
41	Adam Pugh	Rep	Edmond	2016	2020
42	Jack Fry	Rep	Midwest City	2014	2018
43	Paul Scott	Rep	Duncan	2016	2020
44	Michael Brooks-Jimenez	Dem	Oklahoma City	2017†	2018
45	Paul Rosino	Rep	Oklahoma City	2017†	2020
46	Kay Floyd	Dem	Oklahoma City	2014	2018
47	Greg Treat	Rep	Oklahoma City	2011†	2020
48	Anastasia Pittman	Dem	Oklahoma City	2006	2018 (term-limited)
