District	Home	Name	Party
1	Roseburg	Jeff Kruse[2]	Republican
		Dallas Heard	
2	Grants Pass	Herman Baertschiger Jr.	Republican
3	Ashland	Alan DeBoer	Republican
4	Eugene	Floyd Prozanski	Democratic
5	Coos Bay	Arnie Roblan	Democratic
6	Springfield	Lee Beyer	Democratic
7	Eugene	James Manning Jr.	Democratic
8	Corvallis	Sara Gelser	Democratic
9	Molalla	Fred Girod	Republican
10	Salem	Jackie Winters	Republican
11		Peter Courtney	Democratic
12	McMinnville	Brian Boquist	Republican
13	Keizer	Kim Thatcher	Republican
14	Beaverton	Mark Hass	Democratic
15	Hillsboro	Chuck Riley	Democratic
16	Scappoose	Betsy Johnson	Democratic
17	Portland	Elizabeth Steiner Hayward	Democratic
18		Ginny Burdick	Democratic
19	Tualatin	Richard Devlin[3]	Democratic
	Lake Oswego	Rob Wagner	
20	Canby	Alan Olsen	Republican
21	Portland	Kathleen Taylor	Democratic
22		Lew Frederick	Democratic
23		Michael Dembrow	Democratic
24		Rod Monroe	Democratic
25	Gresham	Laurie Monnes Anderson	Democratic
26	Hood River	Chuck Thomsen	Republican
27	Bend	Tim Knopp	Republican
28	Bonanza	Dennis Linthicum	Republican
29	Pendleton	Bill Hansell	Republican
30	John Day	Ted Ferrioli[4]	Republican
	Ontario	Cliff Bentz	
