District	Name	Party	Residence	Counties represented	Term ends	First Elected
1	Larry Farnese	Dem	Philadelphia	Philadelphia	2020	2008
2	Christine Tartaglione	Dem	Philadelphia	Philadelphia	2018	1994
3	Sharif Street	Dem	Philadelphia	Philadelphia	2020	2016
4	Arthur L. Haywood III	Dem	Philadelphia	Montgomery, Philadelphia	2018	2014
5	John Sabatina	Dem	Philadelphia	Philadelphia	2020	2015
6	Tommy Tomlinson	Rep	Bensalem Township	Bucks	2018	1994
7	Vincent Hughes	Dem	Philadelphia	Montgomery, Philadelphia	2020	1994
8	Anthony Williams	Dem	Philadelphia	Delaware, Philadelphia	2018	1998
9	Tom Killion	Rep	Middletown Township	Chester, Delaware	2020	2016
10	Chuck McIlhinney	Rep	Plumstead Township	Bucks	2018	2006
11	Judy Schwank	Dem	Fleetwood	Berks	2020	2011
12	Stewart Greenleaf	Rep	Upper Moreland Township	Bucks, Montgomery	2018	1978
13	Scott Martin	Rep	West Lampeter Township	Lancaster	2020	2016
14	John Yudichak	Dem	Plymouth Township	Carbon, Luzerne	2018	2010
15	John DiSanto	Rep	Susquehanna Township	Dauphin, Perry	2020	2016
16	Pat Browne	Rep	Allentown	Lehigh	2018	2005
17	Daylin Leach	Dem	Upper Merion Township	Delaware, Montgomery	2020	2008
18	Lisa Boscola	Dem	Bethlehem Township	Lehigh, Northampton	2018	1998
19	Andy Dinniman	Dem	West Whiteland Township	Chester	2020	2006
20	Lisa Baker	Rep	Lehman Township	Luzerne, Pike, Susquehanna, Wayne, Wyoming	2018	2006
21	Scott Hutchinson	Rep	Oil City	Butler, Clarion, Forest, Venango, Warren	2020	2012
22	John P. Blake	Dem	Archbald	Lackawanna, Luzerne, Monroe	2018	2010
23	Gene Yaw	Rep	Loyalsock Township	Bradford, Lycoming, Sullivan, Susquehanna, Union	2020	2008
24	Bob Mensch	Rep	Marlborough Township	Berks, Bucks, Montgomery	2018	2009
25	Joe Scarnati	Rep	Brockway	Cameron, Clearfield, Clinton, Elk, Jefferson, McKean, Potter, Tioga	2020	2000
26	Thomas J. McGarrigle	Rep	Springfield Township	Chester, Delaware	2018	2014
27	John Gordner	Rep	Berwick	Columbia, Luzerne, Montour, Northumberland, Snyder	2020	2003
28	Vacant			York	2018	
29	David Argall, Ph.D.	Rep	Rush Township	Berks, Schuylkill	2020	2009
30	John Eichelberger	Rep	Duncansville	Blair, Cumberland, Franklin, Fulton, Huntingdon	2018	2006
31	Mike Regan	Rep	Carroll Township	Cumberland, York	2020	2016
32	Patrick J. Stefano	Rep	Bullskin Township	Fayette, Somerset, Westmoreland	2018	2014
33	Richard Alloway II	Rep	Hamilton Township	Adams, Cumberland, Franklin, York	2020	2008
34	Jake Corman	Rep	Benner Township	Centre, Huntingdon, Juniata, Mifflin	2018	1998
35	Wayne Langerholc	Rep	Johnstown	Bedford, Cambria, Clearfield	2020	2016
36	Ryan Aument	Rep	East Hempfield Township	Lancaster	2018	2014
37	Guy Reschenthaler	Rep	Jefferson Hills	Allegheny, Washington	2020	2015
38	Randy Vulakovich	Rep	Shaler Township	Allegheny	2018	2012
39	Kim Ward	Rep	Hempfield Township	Westmoreland	2020	2008
40	Mario Scavello	Rep	Mount Pocono	Monroe, Northampton	2018	2014
41	Don White	Rep	Indiana	Armstrong, Butler, Indiana, Westmoreland	2020	2000
42	Wayne Fontana	Dem	Pittsburgh	Allegheny	2018	2005
43	Jay Costa	Dem	Forest Hills	Allegheny	2020	1996
44	John Rafferty, Jr.	Rep	Lower Providence Township	Berks, Chester, Montgomery	2018	2002
45	Jim Brewster	Dem	McKeesport	Allegheny, Westmoreland	2020	2010
46	Camera Bartolotta	Rep	Monongahela	Beaver, Greene, Washington	2018	2014
47	Elder Vogel	Rep	New Sewickley Township	Beaver, Butler, Lawrence	2020	2008
48	Mike Folmer	Rep	Lebanon	Dauphin, Lebanon, York	2018	2006
49	Dan Laughlin	Rep	Millcreek Township	Erie	2020	2016
50	Michele Brooks	Rep	Jamestown	Crawford, Erie, Mercer, Warren	2018	2014
