District	Name	Party	Residence
1	Thomas C. Alexander	Republican	Walhalla
2	Rex Rice	Republican	Easley
3	Richard Cash	Republican	Powdersville
4	Michael Gambrell	Republican	Honea Path
5	Thomas D. Corbin	Republican	Travelers Rest
6	William Timmons	Republican	Greenville
7	Karl B. Allen	Democratic	Greenville
8	Ross Turner	Republican	Greenville
9	Daniel B. Verdin III	Republican	Laurens
10	Floyd Nicholson	Democratic	Greenwood
11	Glenn G. Reese	Democratic	Inman
12	Scott Talley	Republican	Spartanburg
13	Shane Martin	Republican	Spartanburg
14	Harvey S. Peeler Jr.	Republican	Gaffney
15	Wes Climer	Republican	Rock Hill
16	Greg Gregory	Republican	Lancaster
17	Mike Fanning	Democratic	Great Falls
18	Ronnie W. Cromer	Republican	Prosperity
19	John L. Scott Jr.	Democratic	Columbia
20	Dick Harpootlian	Democratic	Columbia
21	Darrell Jackson	Democratic	Hopkins
22	Mia McLeod	Democratic	Columbia
23	Katrina Frye Shealy	Republican	Lexington
24	Tom Young Jr.	Republican	Aiken
25	A. Shane Massey	Republican	Edgefield
26	Nikki G. Setzler	Democratic	West Columbia
27	Vincent A. Sheheen	Democratic	Camden
28	Greg Hembree	Republican	North Myrtle Beach
29	Gerald Malloy	Democratic	Hartsville
30	Kent M. Williams	Democratic	Marion
31	Hugh Leatherman	Republican	Florence
32	Ronnie A. Sabb	Democratic	Greeleyville
33	Luke A. Rankin	Republican	Myrtle Beach
34	Stephen Goldfinch	Republican	Murrells Inlet
35	Thomas McElveen	Democratic	Sumter
36	Kevin L. Johnson	Democratic	Manning
37	Lawrence K. Grooms	Republican	Bonneau
38	Sean Bennett	Republican	Summerville
39	John W. Matthews Jr.	Democratic	Bowman
40	Brad Hutto	Democratic	Orangeburg
41	Sandy Senn	Republican	Charleston
42	Marlon Kimpson	Democratic	Charleston
43	George E. Campsen III	Republican	Isle of Palms
44	Paul G. Campbell Jr.	Republican	Goose Creek
45	Margie B. Matthews	Democratic	Charleston
46	Tom Davis	Republican	Beaufort
