District	Name	Party	Residence
1	Jason Frerichs	Democratic	Wilmot
2	Brock Greenfield	Republican	Clark
3	Al Novstrup	Republican	Aberdeen
4	John Wiik	Republican	Big Stone City
5	Neal Tapio	Republican	Watertown
6	Ernie Otten	Republican	Tea
7	Larry Tidemann	Republican	Brookings
8	Jordan Youngberg	Republican	Madison
9	Deb Peters	Republican	Hartford
10	Jenna Netherton	Republican	Sioux Falls
11	Jim Stalzer	Republican	Sioux Falls
12	Blake Curd	Republican	Sioux Falls
13	Jack Kolbeck	Republican	Sioux Falls
14	Deb Soholt	Republican	Sioux Falls
15	Reynold Nesiba	Democratic	Sioux Falls
16	Jim Bolin	Republican	Canton
17	Arthur Rusch	Republican	Vermillion
18	Craig Kennedy	Democratic	Yankton
19	Stace Nelson	Republican	Fulton
20	Joshua Klumb	Republican	Mount Vernon
21	Billie Sutton	Democratic	Burke
22	Jim White	Republican	Huron
23	Justin Cronin	Republican	Gettysburg
24	Jeff Monroe	Republican	Pierre
25	Kris Langer	Republican	Dell Rapids
26	Troy Heinert	Democratic	Mission
27	Kevin Killer	Democratic	Pine Ridge
28	Ryan Maher	Republican	Isabel
29	Gary Cammack	Republican	Union Center
30	Lance Russell	Republican	Hot Springs
31	Bob Ewing	Republican	Spearfish
32	Alan Solano	Republican	Rapid City
33	Phil Jensen	Republican	Rapid City
34	Jeffrey Partridge	Republican	Rapid City
35	Terri Haverly	Republican	Rapid City
