District	Name	Party	Residence	Counties represented
1	Steve Southerland	Rep	Morristown	Cocke, Greene, Hamblen, and part of Sevier
2	Art Swann	Rep	Maryville	Blount and part of Sevier
3	Rusty Crowe	Rep	Maryville	Washington, Unicoi, and part of Carter
4	Jon Lundberg	Rep	Bristol	Johnson, Sullivan, and part of Carter
5	Randy McNally	Rep	Maryville	Anderson, Loudon, and part of Knox
6	Becky Duncan Massey	Rep	Knoxville	Part of Knox
7	Richard Briggs	Rep	Knoxville	Part of Knox
8	Frank Niceley	Rep	Strawberry Plains	Claiborne, Grainger, Hancock, Hawkins, Union, and Jefferson
9	Mike Bell	Rep	Riceville	Polk, McMinn, Meigs, Monroe, and part of Bradley
10	Todd Gardenhire	Rep	Chattanooga	Parts of Hamilton and Bradley
11	Bo Watson	Rep	Hixson	Part of Hamilton
12	Ken Yager	Rep	Kingston	Campbell, Fentress, Morgan, Rhea, Roane, Pickett, and Scott
13	Vacant			Part of Rutherford
14	Shane Reeves	Rep	Murfreesboro	Bedford, Lincoln, Marshall, Moore, and part of Rutherford
15	Paul Bailey	Rep	Sparta	Cumberland, Jackson, Overton, Bledsoe, Putnam, and White
16	Janice Bowling	Rep	Tullahoma	Coffee, Franklin, Grundy, Marion, Van Buren, and Warren
17	Mark Pody	Rep	Lebanon	Cannon, Clay, DeKalb, Macon, Smith, and Wilson
18	Ferrell Haile	Rep	Gallatin	Sumner, Trousdale, and part of Davidson
19	Thelma Harper	Dem	Nashville	Part of Davidson
20	Steven Dickerson	Rep	Nashville	Part of Davidson
21	Jeff Yarbro	Dem	Nashville	Part of Davidson
22	Mark Green	Rep	Clarksville	Stewart, Houston, and Montgomery
23	Jack Johnson	Rep	Franklin	Williamson
24	John Stevens	Rep	Huntingdon	Benton, Carroll, Gibson, Henry, Obion, and Weakley
25	Kerry Roberts	Rep	Springfield	Cheatham, Dickson, Hickman, Humphreys, and Robertson
26	Dolores Gresham	Rep	Somerville	Chester, Decatur, Fayette, Hardeman, Hardin, Haywood, McNairy, and Henderson
27	Ed Jackson	Rep	Jackson	Madison, Crockett, Dyer, Lake, and Lauderdale
28	Joey Hensley	Rep	Hohenwald	Giles, Lawrence, Lewis, Maury, Perry, and Wayne
29	Vacant			Part of Shelby
30	Sara Kyle	Dem	Memphis	Part of Shelby
31	Brian Kelsey	Rep	Germantown	Part of Shelby
32	Vacant	Rep	Collierville	Tipton and part of Shelby
33	Reginald Tate	Dem	Memphis	Part of Shelby
