District	Name	Party	Residence	"First
elected"	"Next
election"	County(ies) represented
1	Bryan Hughes	Republican	Mineola	2016	2020	Bowie, Camp, Cass, Franklin, Gregg, Harrison, Lamar, Marion, Morris, Panola, Red River, Rusk, Smith, Titus, Wood, Upshur
2	Bob Hall	Republican	Edgewood in Van Zandt County	2014	2022	Dallas (part), Delta, Fannin, Hopkins, Hunt, Kaufman, Rains, Rockwall, Van Zandt
3	Robert Nichols	Republican	Jacksonville	2006	2022	Anderson, Angelina, Cherokee, Hardin, Henderson, Houston, Jasper, Liberty, Montgomery (part), Nacogdoches, Newton, Orange, Polk, Sabine, San Augustine, San Jacinto, Shelby, Trinity, Tyler
4	Brandon Creighton	Republican	The Woodlands	2014†	2020	Chambers, Galveston (part), Harris (part), Jefferson, Montgomery (part)
5	Charles Schwertner	Republican	Georgetown	2012	2022	Brazos, Freestone, Grimes, Leon, Limestone, Madison, Milam, Robertson, Walker, Williamson
6	Sylvia Garcia	Democratic	Houston	2013†	2020	Harris (part)
7	Paul Bettencourt	Republican	Houston	2014	2022	Harris (part)
8	Angela Paxton	Republican	Plano	2018	2022	Collin (part), Dallas (part)
9	Kelly Hancock	Republican	Fort Worth	2012	2022	Dallas (part), Tarrant (part)
10	Beverly Powell	Democratic	Colleyville	2018	2022	Tarrant (part)
11	Larry Taylor	Republican	Friendswood	2012	2020	Brazoria (part), Galveston (part), Harris (part)
12	Jane Nelson	Republican	Flower Mound	1992	2020	Denton (part), Tarrant (part)
13	Borris Miles	Democratic	Houston	2016	2020	Fort Bend (part), Harris (part)
14	Kirk Watson	Democratic	Austin	2006	2018	Bastrop, Travis (part)
15	John Whitmire	Democratic	Houston	1982	2018	Harris (part)
16	Nathan Johnson	Democratic	Dallas	2018	2022	Dallas (part)
17	Joan Huffman	Republican	Southside Place	2008†	2018	Brazoria (part), Fort Bend (part), Harris (part)
18	Lois Kolkhorst	Republican	Katy	2014	2020	Aransas, Austin, Burleson, Calhoun, Colorado, DeWitt, Fayette, Fort Bend (part), Goliad, Gonzales, Harris (part), Jackson, Lee, Matagorda, Nueces (part), Refugio, Victoria, Waller, Washington, Wharton
19	Pete Flores	Republican	Pleasanton	2018†	2020	Atascosa (part), Bexar (part), Brewster, Crockett, Dimmit, Edwards, Frio, Kinney, Maverick, Medina, Pecos, Real, Reeves, Terrell, Uvalde, Val Verde, Zavala
20	Juan Hinojosa	Democratic	McAllen	2002	2020	Brooks, Hidalgo (part), Jim Wells, Nueces (part)
21	Judith Zaffirini	Democratic	Laredo	1986	2020	Atascosa (part), Bexar (part), Bee, Caldwell, Duval, Guadalupe (part), Live Oak, Jim Hogg, Karnes, La Salle, McMullen, San Patricio, Starr, Travis (part), Uvalde, Webb, Wilson, Zapata
22	Brian Birdwell	Republican	Granbury	2010†	2020	Bosque, Ellis, Falls, Hill, Hood (part), Frio, Johnson, McLennan, Navarro, Somervell, Tarrant (part)
23	Royce West	Democratic	Dallas	1992	2018	Dallas (part)
24	Dawn Buckingham	Republican	Horseshoe Bay	2016	2020	Bandera, Bell, Blanco, Brown, Burnet, Callahan, Comanche, Coryell, Gillespie, Hamilton, Kerr, Lampasas, Llano, Mills, San Saba, Taylor (part), Travis(part)
25	Donna Campbell	Republican	New Braunfels	2012	2018	Bexar (part), Travis (part), Comal, Hays, Kendall
26	Jose Menendez	Democratic	San Antonio	2015†	2020	Bexar (part)
27	Eddie Lucio Jr.	Democratic	Brownsville	1990	2020	Cameron, Hidalgo (part), Kenedy, Kleberg, Willacy
28	Charles Perry	Republican	Lubbock	2014†	2020	Baylor, Borden, Childress, Coke, Coleman, Concho, Cottle, Crane, Crosby, Dawson, Dickens, Eastland, Fisher, Floyd, Foard, Garza, Hale, Hardeman, Haskell, Hockley, Irion, Jones, Kent, Kimble, King, Knox, Lamb, Lubbock, Lynn, Mason, McColluch, Menard, Mitchell, Montague, Motley, Nolan, Reagan, Runnels, Sleicher, Scurry, Shackelford, Stephens, Sterling, Stonewall, Sutton, Terry, Throckmorton, Tom Green, Upton, Ward, Wheeler, Wilbarger, Young
29	José R. Rodríguez	Democratic	El Paso	2010	2020	Culberson, El Paso, Hudspeth, Jeff Davis, Presidio
30	Craig Estes	Republican	Wichita Falls	2000	2018	Archer, Clay, Collin (part), Cooke, Denton (part), Erath, Grayson, Jack, Montague, Palo Pinto, Parker, Wichita, Wise, Young
31	Kel Seliger	Republican	Amarillo	2004†	2018	Andrews, Armstrong, Bailey, Briscoe, Carson, Castro, Cochran, Collingsworth, Coke, Coleman, Dallam, Deaf Smith, Donley, Ector, Gaines, Glasscock, Gray, Hall, Hartley, Hemphill, Hansford, Howard, Hutchinson, Jones, Lipscomb, Loving, Lynn, Martin, Midland, Moore, Motley, Ochiltree, Oldham, Parmer, Potter, Randall, Roberts, Sherman, Swisher, Wheeler, Winkler, Yoakum
