District	Name	Party	First elected	"Counties
Represented"
1	Luz Escamilla	Dem	2008	Salt Lake
2	Jim Dabakis	Dem	2012↑	Salt Lake
3	Gene Davis	Dem	1998	Salt Lake
4	Jani Iwamoto	Dem	2014	Salt Lake
5	Karen Mayne	Dem	2008	Salt Lake
6	Wayne Harper	Rep	2012	Salt Lake
7	Deidre Henderson	Rep	2012	Utah
8	Brian Shiozawa	Rep	2012	Salt Lake
9	Wayne L. Niederhauser	Rep	2006↑	Salt Lake
10	Lincoln Fillmore	Rep	2015	Salt Lake
11	Howard A. Stephenson	Rep	1992	Salt Lake, Utah
12	Daniel Thatcher	Rep	2010	Salt Lake, Tooele
13	Jake Anderegg	Rep	2016	Tooele, Utah
14	Daniel Hemmert	Rep	2016↑	Utah
15	Margaret Dayton	Rep	2006	Utah
16	Curt Bramble	Rep	2000	Utah
17	Peter C. Knudson	Rep	1998	Box Elder, Cache, Tooele
18	F. Ann Millner	Rep	2014	Davis, Weber
19	Allen M. Christensen	Rep	2004	Morgan, Summit, Weber
20	D. Gregg Buxton	Rep	2016	Weber
21	Jerry W. Stevenson	Rep	2010↑	Davis
22	J. Stuart Adams	Rep	2009↑	Davis
23	Todd Weiler	Rep	2012↑	Davis
24	Ralph Okerlund	Rep	2008	Juab, Piute, Sanpete, Sevier, Tooele, Wayne
25	Lyle W. Hillyard	Rep	1984	Cache, Rich
26	Kevin T. VanTassell	Rep	2006	Daggett, Duchesne, Summit, Uintah, Wasatch
27	David P. Hinkins	Rep	2008	Carbon, Emery, Grand, San Juan, Utah
28	Evan Vickers	Rep	2012	Beaver, Garfield, Iron, Kane, Millard, Washington
29	Don Ipson	Rep	2008	Washington
