District	Name	Party
	Counties	Cities
1	Monty Mason	Democratic
2	Mamie Locke	Democratic
3	Tommy Norment	Republican
4	Ryan McDougle	Republican
5	Lionell Spruill	Democratic
6	Lynwood Lewis	Democratic
7	Frank Wagner	Republican
8	William DeSteph	Republican
9	Jennifer McClellan	Democratic
10	Glen Sturtevant	Republican
11	Amanda Chase	Republican
12	Siobhan Dunnavant	Republican
13	Dick Black	Republican
14	John Cosgrove	Republican
15	Frank Ruff	Republican
16	Rosalyn Dance	Democratic
17	Bryce Reeves	Republican
18	Louise Lucas	Democratic
19	David Suetterlein	Republican
20	Bill Stanley	Republican
21	John S. Edwards	Democrat
22	Mark Peake	Republican
23	Steve Newman	Republican
24	Emmett Hanger	Republican
25	Creigh Deeds	Democratic
26	Mark Obenshain	Republican
27	Jill Holtzman Vogel	Republican
28	Richard Stuart	Republican
29	Jeremy McPike	Democratic
30	Adam Ebbin	Democratic
31	Barbara Favola	Democratic
32	Janet Howell	Democratic
33	Jennifer Wexton	Democratic
34	Chap Petersen	Democratic
35	Richard L. Saslaw	Democratic
36	Scott Surovell	Democratic
37	Dave Marsden	Democratic
38	Ben Chafin	Republican
39	George Barker	Democratic
40	Charles William Carrico, Sr.	Republican
