District	Name	Party	Residence	First elected
Addison	Claire D. Ayer	Dem	Weybridge	2002
	Christopher A. Bray	Dem	New Haven	2012
Bennington	Brian Campion	Dem	Bennington	2014
	Richard Sears	Dem	North Bennington	1992
Caledonia	Joe Benning	Rep/Dem	St. Johnsbury	2010
	Jane Kitchel	Dem/Rep	Danville	2004
Chittenden	Tim Ashe	Dem/Prog	Burlington	2008
	Phil Baruth	Dem/Prog	Burlington	2010
	Debbie Ingram	Dem	Williston	2016
	Ginny Lyons	Dem	Williston	2000
	Christopher A. Pearson	Prog/Dem	Burlington	2016
	Michael Sirotkin	Dem	South Burlington	2014 (appointed)
Essex-Orleans	John S. Rodgers	Dem/Rep	Glover	2012
	Robert Starr	Dem/Rep	North Troy	2004
Franklin	Carolyn Whitney Branagan	Rep	Georgia	2016
	Randy Brock	Rep	Swanton	"2017 (appointed)[4]
(2009-2013)"
Colchester-Grand Isle	Richard Mazza	Dem	Colchester	1984
Lamoille	Richard A. Westman	Rep/Dem	Hyde Park	2010
Orange	Mark MacDonald	Dem	Williamstown	"2003
(1997–1999)"
Rutland	Brian Collamore	Rep	Rutland	2014
	Margaret Flory	Rep	Pittsford	2010
	David Soucy	Rep	Killington	2017 (appointed)
Washington	Francis Brooks	Dem	Montpelier	2016
	Ann Cummings	Dem	Montpelier	1996
	Anthony Pollina	Prog/Dem	Middlesex	2010
Windham	Becca Balint	Dem	Brattleboro	2014
	Jeanette White	Dem	Putney	2002
Windsor	Alison Clarkson	Dem	Woodstock	2016
	Richard McCormack	Dem/Prog	Bethel	"2006
(1989–2003)"
	Alice Nitka	Dem	Ludlow	2006
