District	Name	Party	Residence	Counties Represented	First elected	Next election
1	Guy Palumbo	Democratic	Maltby	King (part), Snohomish (part)	2016	2020
2	Randi Becker	Republican	Eatonville	Pierce (part), Thurston (part)	2008	2020
3	Andy Billig	Democratic	Spokane	Spokane (part)	2012	2020
4	Mike Padden	Republican	Spokane Valley	Spokane (part)	2011^	2020
5	Mark Mullet	Democratic	Issaquah	King (part)	2012#	2020
6	Michael Baumgartner	Republican	Spokane	Spokane (part)	2010	2018
7	Shelly Short	Republican	Addy	Ferry, Okanogan (part), Pend Oreille, Spokane(part), Stevens	2017†	2018
8	Sharon Brown	Republican	Kennewick	Benton (part)	2013†	2018
9	Mark Schoesler	Republican	Ritzville	Adams, Asotin, Franklin (part), Garfield, Spokane (part), Whitman	2004	2020
10	Barbara Bailey	Republican	Oak Harbor	Island, Skagit (part), Snohomish (part)	2012	2020
11	Bob Hasegawa	Democratic	Seattle	King (part)	2012	2020
12	Brad Hawkins	Republican	East Wenatchee	Chelan, Douglas, Grant (part), Okanogan (part)	2016	2020
13	Judy Warnick	Republican	Moses Lake	Grant (part), Kittitas, Lincoln, Yakima (part)	2014	2018
14	Curtis King	Republican	Yakima	Clark (part), Klickitat, Skamania, Yakima (part)	2007^	2020
15	Jim Honeyford	Republican	Sunnyside	Yakima (part)	1998	2018
16	Maureen Walsh	Republican	College Place	Benton (part), Columbia, Franklin (part), Walla Walla	2016	2020
17	Lynda Wilson	Republican	Vancouver	Clark (part)	2016	2020
18	Ann Rivers	Republican	La Center	Clark (part)	2012†	2020
19	Dean Takko	Democratic	Longview	Cowlitz (part), Grays Harbor (part), Lewis(part), Pacific, Wahkiakum	2015†	2020
20	John Braun	Republican	Centralia	Clark (part), Cowlitz (part), Lewis (part), Thurston (part)	2012	2020
21	Marko Liias	Democratic	Everett	Snohomish (part)	2014†	2018
22	Sam Hunt	Democratic	Olympia	Thurston (part)	2016	2020
23	Christine Rolfes	Democratic	Bainbridge Island	Kitsap (part)	2010†	2020
24	Kevin Van De Wege	Democratic	Sequim	Clallam, Grays Harbor (part), Jefferson	2016	2020
25	Hans Zeiger	Republican	Puyallup	Pierce (part)	2016#	2020
26	Jan Angel	Republican	Port Orchard	Kitsap (part), Pierce (part)	2013^	2018
27	Jeannie Darneille	Democratic	Tacoma	Pierce (part)	2012	2020
28	Steve O'Ban	Republican	Tacoma	Pierce (part)	2013†	2020
29	Steve Conway	Democratic	Tacoma	Pierce (part)	2010	2018
30	Mark Miloscia	Republican	Federal Way	King (part), Pierce (part)	2014	2018
31	Phil Fortunato	Republican	Auburn	King (part), Pierce (part)	2017†	2018
32	Maralyn Chase	Democratic	Edmonds	King (part), Snohomish (part)	2010	2018
33	Karen Keiser	Democratic	Des Moines	King (part)	2001†	2018
34	Sharon Nelson	Democratic	Vashon	King (part)	2010#	2018
35	Tim Sheldon	Democratic (MCC)	Potlatch	Kitsap (part), Mason, Thurston (part)	1997^	2018
36	Reuven Carlyle	Democratic	Seattle	King (part)	2016†	2018
37	Rebecca Saldaña	Democratic	Seattle	King (part)	2016†	2018
38	John McCoy	Democratic	Tulalip	Snohomish (part)	2013†	2018
39	Keith Wagoner	Republican	Sedro-Woolley	King (part), Skagit (part), Snohomish (part)	2018†	2018
40	Kevin Ranker	Democratic	Orcas Island	San Juan, Skagit (part), Whatcom (part)	2008	2020
41	Lisa Wellman	Democratic	Mercer Island	King (part)	2016	2020
42	Doug Ericksen	Republican	Ferndale	Whatcom (part)	2010	2018
43	Jamie Pedersen	Democratic	Seattle	King (part)	2013†	2018
44	Steve Hobbs	Democratic	Lake Stevens	Snohomish (part)	2006	2018
45	Manka Dhingra	Democratic	Redmond	King (part)	2017^	2018
46	David Frockt	Democratic	Seattle	King (part)	2011†	2018
47	Joe Fain	Republican	Auburn	King (part)	2010	2018
48	Patty Kuderer	Democratic	Clyde Hill	King (part)	2017†	2018
49	Annette Cleveland	Democratic	Vancouver	Clark (part)	2012	2020
