Name	District	Party	Residence	Current age	First elected	Next election
Caleb Frostman	01	Dem	Sturgeon Bay	33	2018	2018
Robert Cowles	02	Rep	Green Bay	68	1987	2020
Tim Carpenter	03	Dem	Milwaukee	58	2002	2018
Lena Taylor	04	Dem	Milwaukee	52	2004	2020
Leah Vukmir	05	Rep	Wauwatosa	60	2010	2018
La Tonya Johnson	06	Dem	Milwaukee	46	2016	2020
Chris Larson	07	Dem	Milwaukee	38	2010	2018
Alberta Darling	08	Rep	River Hills	74	1992	2020
Devin LeMahieu	09	Rep	Sheboygan	46	2014	2018
Patty Schachtner	10	Dem	Somerset	57	2018	2020
Stephen Nass	11	Rep	Whitewater	66	2014	2018
Tom Tiffany	12	Rep	Hazelhurst	60	2012	2020
Scott Fitzgerald	13	Rep	Juneau	54	1994	2018
Luther Olsen	14	Rep	Ripon	67	2004	2020
Janis Ringhand	15	Dem	Evansville	68	2014	2018
Mark F. Miller	16	Dem	Monona	75	2004	2020
Howard Marklein	17	Rep	Spring Green	64	2014	2018
Dan Feyen	18	Rep	Fond du Lac	50	2016	2020
Roger Roth	19	Rep	Appleton	40	2014	2018
Duey Stroebel	20	Rep	Saukville	59	2015	2020
Van H. Wanggaard	21	Rep	Racine	66	2014	2018
Robert Wirch	22	Dem	Kenosha	74	1996	2020
Terry Moulton	23	Rep	Chippewa Falls	72	2010	2018
Patrick Testin	24	Rep	Stevens Point	30	2016	2020
Janet Bewley	25	Dem	Ashland	66	2014	2018
Fred Risser	26	Dem	Madison	91	1962	2020
Jon Erpenbach	27	Dem	Middleton	57	1998	2018
David Craig	28	Rep	Vernon	39	2016	2020
Jerry Petrowski	29	Rep	Marathon	68	2012	2018
Dave Hansen	30	Dem	Green Bay	70	2000	2020
Kathleen Vinehout	31	Dem	Alma	60	2006	2018
Jennifer Shilling	32	Dem	La Crosse	49	2011	2020
Chris Kapenga	33	Rep	Delafield	46	2015	2018
