District	Name	Party	Residence	Counties Represented	Next election
1	Ogden Driskill	Republican	Devils Tower	Converse, Crook, Goshen, Niobrara, Weston	2018
2	Brian Boner	Republican	Douglas	Converse, Platte	2020
3	Curt Meier	Republican	LaGrange	Goshen, Platte	2018
4	Tara Nethercott	Republican	Cheyenne	Laramie	2020
5	Fred Emerich	Republican	Cheyenne	Laramie	2018
6	Anthony Bouchard	Republican	Carpenter	Laramie	2020
7	Stephan Pappas	Republican	Cheyenne	Laramie	2018
8	Affie Ellis	Republican	Cheyenne	Laramie	2020
9	Chris Rothfuss	Democratic	Laramie	Albany	2018
10	Glenn Moniz	Republican	Laramie	Albany	2020
11	Larry S. Hicks	Republican	Baggs	Albany, Carbon	2018
12	Liisa Anselmi-Dalton	Democratic	Rock Springs	Fremont, Sweetwater	2020
13	John Hastert	Democratic	Green River	Sweetwater	2018
14	Fred Baldwin	Republican	Kemmerer	Lincoln, Sublette, Sweetwater, Uinta	2020
15	Paul Barnard	Republican	Evanston	Uinta	2018
16	Dan Dockstader	Republican	Afton	Lincoln, Sublette, Teton	2020
17	Leland Christensen	Republican	Alta	Fremont, Teton	2018
18	Hank Coe	Republican	Cody	Park	2020
19	R. Ray Peterson	Republican	Cowley	Big Horn, Park	2018
20	Wyatt Agar	Republican	Thermopolis	Big Horn, Hot Springs, Park, Washakie	2020
21	Bruce Burns	Republican	Sheridan	Sheridan	2018
22	Dave Kinskey	Republican	Sheridan	Sheridan, Johnson	2020
23	Jeff Wasserburger	Republican	Gillette	Campbell	2018
24	Michael Von Flatern	Republican	Gillette	Campbell	2020
25	Cale Case	Republican	Lander	Fremont	2018
26	Eli Bebout	Republican	Riverton	Fremont	2020
27	Bill Landen	Republican	Casper	Natrona	2018
28	James Lee Anderson	Republican	Casper	Natrona	2020
29	Drew Perkins	Republican	Casper	Natrona	2018
30	Charles Scott	Republican	Casper	Natrona	2020
